Nome;Número de Mensagens;Stickers;Imagens;Áudios
Bruno;2434;684;157;0
Palavra;Frequência
que;258
o;237
de;200
é;177
não;153
a;128
do;121
eu;113
no;100
pra;99
na;76
e;73
vc;73
ta;70
da;65
tem;58
um;54
com;51
os;46
se;43
vai;42
fazer;40
dia;40
ele;39
em;37
uma;37
só;37
to;37
já;35
mais;35
meu;35
isso;31
me;30
por;30
sei;30
cara;29
ser;29
tbm;29
mesmo;28
vou;28
mas;26
como;25
lá;24
aí;24
grupo;23
aqui;23
👍;23
foi;23
cookie;23
vcs;22
quer;22
pq;21
bom;20
ter;19
muito;18
essa;18
pablo;17
tenho;17
mina;17
ela;17
nem;17
aula;16
hj;16
dá;16
quando;15
nada;15
casa;15
2;14
as;14
seu;14
esse;14
in;14
sim;13
ver;13
sua;13
ir;13
gente;13
ficar;13
quem;12
agr;12
primos;12
te;12
faz;12
minha;12
mãe;12
fala;12
caras;12
tava;11
nome;11
mundo;11
pro;11
dos;11
tão;10
agora;10
quero;10
pode;10
bem;10
the;10
primo;10
ia;10
sai;10
omitted;10
sabe;10
falar;9
pau;9
vdd;9
saber;9
são;9
tinha;9
falando;9
noite;9
levar;9
coisa;9
assim;9
aí?;9
estar;9
comprar;9
you;9
acho;8
tudo;8
1;8
vontade;8
comer;8
@5519982733551;8
família;8
fez;8
demais;8
cu;8
la;8
então;8
fodase;8
hora;8
indo;8
pessoas;8
for;8
of;8
menos;8
quase;8
léo;8
pós;8
sala;8
estágio;8
show;8
ainda;7
kkkkkk;7
pela;7
alguém;7
que?;7
amanhã;7
tempo;7
manda;7
melhor;7
certo;7
fazendo;7
vem;7
facul;7
pergunta;7
todo;7
perdi;7
parece;7
daora;7
mão;7
gustavo;7
disse;7
perder;7
i;7
kkkkkkk;7
merda;7
sair;7
on;7
choku;6
deixar;6
todos;6
foto;6
prova;6
outro;6
dele;6
posso;6
das;6
para;6
mc;6
quiser;6
novo;6
vi;6
minas;6
homem;6
dessa;6
grande;6
time;6
ou;6
fica;6
meio;6
rock;6
pegar;6
cookies;6
deu;6
5;6
lso;6
mt;6
existe;6
ao;6
my;6
sticker;5
face;5
caio;5
guys;5
mano;5
dar;5
xips;5
cornos;5
sempre;5
natham;5
primeiro;5
tarde;5
chamyto;5
vejo;5
jogar;5
vão;5
fita;5
usar;5
hein;5
antes;5
is;5
brain;5
dizer;5
it;5
comigo;5
até;5
