Nome;Número de Mensagens;Stickers;Imagens;Áudios
Choco;6207;308;210;18
Palavra;Frequência
o;503
q;391
n;333
a;301
de;297
eu;265
eh;257
pra;203
do;193
no;168
vc;161
da;161
?;159
e;155
na;133
com;122
um;114
pablo;103
tem;99
vai;99
ele;94
ela;81
uma;80
tá;75
se;74
foi;70
isso;70
mina;67
vou;66
grupo;61
os;61
em;60
mais;59
pro;58
kkk;57
me;56
cara;56
was;55
acho;53
message;53
deleted.;53
ser;52
te;50
mto;48
so;47
kkkk;47
gente;45
pq;44
também;43
ir;43
dia;43
só;42
ficar;41
as;38
role;38
tava;38
ter;37
nem;37
fazer;36
meu;36
por;36
la;34
era;34
mesmo;34
aula;33
caio;31
to;31
não;31
quem;30
já;30
assim;30
outro;29
que;29
ver;29
mundo;29
sei;29
natham;29
faz;28
dos;28
hj;28
como;28
aqui;27
hora;26
minha;26
tinha;26
ja;25
ta;25
dele;25
ainda;25
seu;24
quer;24
nd;24
tenho;24
ai;23
2;21
casa;21
amigo;21
agora;21
facul;21
oq;20
fala;20
td;20
sua;20
fica;20
pode;20
foto;20
mas;19
boa;19
tudo;19
queria;19
minas;18
festa;18
mim;18
sp;18
ou;18
bem;18
sou;18
essa;18
bom;17
sabe;17
deu;17
falou;17
pau;17
fui;17
depois;17
nao;17
levar;17
miley;16
lá;16
falei;16
falar;16
então;16
face;16
vista;16
tomar;16
*ela*;16
pegar;16
suave;15
pa;15
vcs;15
tipo;15
tempo;15
homem;15
fita;15
chamar;15
verinha;15
mandar;15
toy;15
fez;14
das;14
morma;14
fora;14
mc;14
top;14
esse;14
sem;13
mlk;13
amigos;13
nois;13
chácara;13
daí;13
olha;13
pegou;13
cada;13
dela;13
quero;13
quando;13
cu;13
saber;13
beijo;13
@5516997052636;12
1;12
alguém;12
tô;12
vez;12
errado;12
ia;12
triplo;12
mandou;12
pessoas;11
";11
sim;11
aí;11
carona;11
vem;11
noite;11
@5511954263132;11
vdd;11
manda;11
falando;11
ajuda;11
smp;11
viu;11
teve;11
karen;11
leo;11
sac;11
fazendo;11
amo;11
são;11
senha;11
adm;10
tão;10
drauzio;10
gi;10
kkkkk;10
parte;10
horas;10
disse;10
onde;10
melhor;10
lembro;10
até;10
pedir;10
algo;10
mãe;10
caras;10
amizade;10
novo;10
i;10
ed2;10
existe;10
para;10
jogo;10
gosta;9
real;9
eles;9
outros;9
for;9
@5516997121580;9
ontem;9
causa;9
fiz;9
saiu;9
ajudar;9
diretorgia;9
coisa;9
vi;9
igual;9
amiga;9
tiver;9
comprar;9
uns;9
dar;9
omitted;9
peguei;9
gado;9
sentido;8
primeiro;8
voltar;8
chegar;8
salinas;8
disso;8
precisa;8
antes;8
merda;8
quase;8
guys;8
bd;8
dando;8
cosi;8
@5515981646757;8
@5519993807942;8
@5516991147120;8
dessa;8
treta;8
lado;8
barra;8
meio;8
chato;8
certo;8
quis;8
moh;8
haha;8
chegou;8
lixo;8
qlqr;8
triste;8
bebida;8
ficou;8
ufscar;8
posso;8
ao;8
monte;8
achei;8
conto;8
coisas;8
tambem;8
esperando;8
outra;8
mulher;8
umas;7
vendo;7
acad;7
entrar;7
dráuzio;7
nome;7
muda;7
pessoa;7
@5519982733551;7
semana;7
?*;7
lugar;7
nathalie;7
demais;7
selinho;7
moral;7
dai;7
vim;7
comer;7
arthur;7
insta;7
nas;7
fecho;7
redes;7
x;7
seleção;7
exs;7
prova;7
quente;7
feliz;7
saindo;7
tao;7
maior;7
entendi;7
entao;7
cachorro;7
pela;7
email;7
pensar;6
dois;6
mudar;6
acha;6
link;6
sabia;6
chamyto;6
fosse;6
mora;6
mandei;6
segredo;6
quiser;6
elas;6
açaí;6
desculpa;6
5;6
doq;6
professor;6
pouco;6
porra;6
indo;6
direto;6
achava;6
postar;6
tendo;6
shape;6
laranjo;6
brinquedo;6
jeito;6
perto;6
nessa;6
bcc;6
vontade;6
pastor;6
gosto;6
mesma;6
graça;6
vezes;6
parar;6
:;6
pensa;6
entre;6
matar;6
gadar;6
filme;6
comprou;5
giovani;5
sair;5
ne;5
burro;5
comigo;5
virou;5
gata;5
única;5
atenção;5
menos;5
consegue;5
fitas;5
junto;5
perguntou;5
fiquei;5
carro;5
primeira;5
pablo,;5
@5516991310978;5
achar;5
@5511971696565;5
cima;5
num;5
vejo;5
fotos;5
geral;5
namora;5
todo;5
tivesse;5
ex;5
pistola;5
nele;5
bixos;5
nela;5
choku;5
cheguei;5
time;5
dahora;5
topa;5
n,;5
dizer;5
cookies;5
eleven;5
bruno;5
mta;5
vida;5
cookie;5
normal;5
chama;5
esquece;5
baixo;5
true;5
katti;5
bixo;5
gaal;5
levo;5
apareceu;5
tanto;5
👍;5
caipirinha;5
caro;5
qual;5
grande;5
mario;5
feelings;5
trab;5
meses;5
comida;5
calor;5
após;5
ano;5
conta;5
heterotop;5
errada;5
patelli;5
colocar;5
drone;5
(ambos;5
estudar;5
suas;5
3;5
fico;5
rodela;5
explicar;5
in;5
with;5
the;5
larissa;5
smallbig;5
questão;4
enquete;4
querer;4
tentando;4
nesse;4
puto;4
intervalo;4
ganha;4
ecad;4
soco;4
pensando;4
extensão;4
toda;4
compartilhar;4
vaga;4
@5511997111223;4
@5511996234597;4
@5515997471294;4
ninguém;4
volta;4
curte;4
problema;4
pls;4
compra;4
big;4
faustão;4
deve;4
mina,;4
segunda;4
culpa;4
brabo;4
boto;4
mal;4
diretoria;4
sujeira;4
leozin;4
msg;4
pediu;4
resposta;4
descobri;4
pedi;4
pego;4
jogou;4
pelo;4
frente;4
duas;4
tive;4
cortar;4
medo;4
sorocaba,;4
atitudes;4
rolar;4
nofap;4
fe;4
pesado;4
dormir;4
=;4
@5511984480662;4
audio;4
perde;4
estar;4
oficial;4
nunca;4
imagem;4
perder;4
atrás;4
dias;4
😢;4
mando;4
22;4
refri;4
curto;4
pena;4
chega;4
faço;4
dfqm;4
aparece;4
home;4
ganhou;4
sexta;4
amanhã;4
pai;4
chamada;4
coqueteleira;4
vodka;4
batata;4
barato;4
falava;4
morto;4
passou;4
pago;4
15;4
essas;4
intercomp;4
ap;4
compro;4
tarde;4
unico;4
perdeu;4
21h;4
preciso;4
merece;4
fodah;4
encontrar;4
10;4
depende;4
nosso;4
parece;4
lista;4
marcar;4
ate;4
dessas;4
concordo;4
sao;4
yakult;4
solteiros)*;4
pergunta;4
putaria;4
uber;4
vão;4
passado;4
corto;4
lol;4
quarta;4
fut;4
breja;4
dog;4
leva;4
calc2;4
produção;4
falo;4
algoritmo;4
eda;4
ddd;4
?";4
bar;4
caneca;4
deixou;4
feriado;4
are;4
your;4
tds;4
deveria;4
domingo;4
aposta;4
favor;4
vela;4
quinta;4
wesley;4
bin;3
grupos;3
gostava;3
dá;3
pessoal;3
grupo,;3
nenhum;3
colar;3
vê;3
chamado;3
ruim;3
chamou;3
churras;3
mato;3
emprenda;3
ideia;3
pega;3
doente;3
atletica;3
evento;3
você;3
leozin,;3
@5515997769345;3
bala;3
ficava;3
nos;3
voto;3
nota;3
sorvete;3
tammy;3
fds;3
faltou;3
dei;3
interesse;3
producoxa;3
is;3
betar;3
ponto;3
louca;3
share;3
aquele;3
criou;3
cuzao;3
25;3
ele,;3
ibriza;3
louco;3
nenhuma;3
respondeu;3
segredos;3
sido;3
diz;3
amor;3
deus;3
corta;3
último;3
prof;3
japonês;3
começou;3
academia;3
comparando;3
toxico;3
página;3
estela;3
acredito;3
cirrose;3
manjo;3
primo;3
ss;3
começar;3
realidade;3
tdas;3
vem*;3
@5519996851067;3
mae;3
saco;3
desde;3
entrou;3
turma;3
namorada;3
outras;3
enactus;3
dava;3
forma;3
vale;3
sabado;3
voltou;3
rapido;3
lousa;3
consigo;3
explicando;3
puta;3
*dela*;3
haver;3
entender;3
baradel;3
globo;3
cu,;3
querendo;3
passa;3
moedor;3
restaurante;3
bud;3
narga;3
tirou;3
tu;3
gostar,;3
respeitar;3
close;3
friends;3
posto;3
aleatório;3
deles;3
feed;3
ctz;3
mamada;3
acai;3
fonte;3
usar;3
explica;3
crm;3
6;3
extensao;3
candida;3
parabéns;3
busão;3
pior;3
luiz;3
parou;3
ido;3
20;3
ganhava;3
mormaço;3
piscina;3
rappi;3
cupom;3
monstro;3
legal;3
min;3
horário;3
maromba;3
frio;3
mesmo,;3
conversa;3
mandando;3
atitude;3
deveriam;3
tirar;3
curso;3
pfv;3
contra;3
shinki;3
julgo;3
more;3
feijão;3
eats;3
rizzi;3
sábado;3
3/4;3
jogar;3
tomou;3
conhece;3
número;3
perdido;3
sorriso;3
2016;3
small;3
mlkada;3
tendi;3
ifood;3
dentro;3
declaro;3
abdala;3
merlin;3
coracini;3
reincidencia;3
atos;3
inimizade;3
wm;3
encaixa;3
mini;3
maratona;3
apaixonado;3
fila;3
