Nome;Número de Mensagens;Stickers;Imagens;Áudios
Cosi;6099;1730;426;23
Palavra;Frequência
o;751
de;671
a;465
que;412
é;370
do;358
no;332
e;280
eu;268
pra;265
da;246
n;232
q;223
um;216
na;213
ta;170
em;161
com;151
vc;151
nao;146
tem;137
ai;133
uma;132
vai;124
dia;121
ser;115
se;107
os;105
ele;101
mano;100
mais;98
grupo;93
cara;89
isso;89
meu;77
la;77
pro;70
so;68
me;68
foi;66
aqui;65
to;63
ter;63
👍🏻;62
pau;61
gente;59
não;58
esse;58
aula;58
por;57
jogo;56
2;55
pq;54
ela;54
tbm;53
sei;52
ja;50
pablo;49
fazer;48
só;48
seu;48
ver;48
mesmo;46
mto;46
as;46
como;44
ou;44
fodase;44
ainda;42
cu;41
outro;40
era;40
agora;40
bom;39
flamengo;39
dos;38
dar;38
casa;37
faz;37
minha;37
essa;37
vo;36
for;35
sua;35
pode;35
lol;35
nada;34
time;34
bota;33
ir;33
tudo;33
tenho;32
ficar;32
mina;31
primo;31
assim;31
coisa;31
foto;31
sem;30
fala;30
3;30
te;29
p;28
eles;28
deus;27
hj;27
1;27
vez;27
tava;27
mundo;27
uns;27
mas;26
ia;26
pegar;26
porra;25
quem;25
acho;25
melhor;25
indo;25
sou;25
hein;25
falando;24
falar;24
dele;24
mim;24
todo;24
bem;24
fica;23
vcs;23
10;23
crime;23
tinha;22
quero;22
nem;22
game;22
corno;21
meio;21
daora;21
amanhã;21
min;21
vou;21
bagulho;21
quando;21
ufscar;20
hora;20
comer;20
c;20
noite;19
vi;19
verinha;19
gado;19
sim;19
merda;19
ate;19
tipo;19
deu;19
prova;19
fui;18
real;18
foda;18
sabe;18
né;18
tempo;18
criminoso;18
ngm;18
vs;18
jogar;18
pa;18
toy;17
entao;17
todos;17
novo;17
demais;17
falou;17
sair;17
leo;17
lixo;17
mundial;17
deve;16
primeiro;16
depois;16
tb;16
vontade;16
das;16
nesse;16
tao;16
coreia;16
nois;15
aquele;15
certo;15
mandar;15
mormaço;15
puta;15
para;15
nos;15
vendo;15
ao;15
pelo;15
menos;15
ce;15
vida;15
>;15
resto;15
the;14
nunca;14
manda;14
botar;14
sao;14
comprar;14
lado;14
galera;14
natham;14
nome;14
fazendo;14
queria;14
dormir;14
jogando;14
vem;14
pain;14
5;14
antes;14
moral;14
boneco;14
sticker;13
top;13
mo;13
minutos;13
horas;13
pega;13
vao;13
alguem;13
homem;13
maior;13
ruim;13
ne;13
mc;13
sai;13
come;13
frente;13
consigo;13
fude;13
ganha;13
joga;13
ok;12
aquela;12
fez;12
usar;12
of;12
bixo;12
gaal;12
dentro;12
ali;12
choku;12
maluco;12
pai;12
video;12
olha;12
mobile;12
amigo;12
meus;12
grupos;12
fora;12
leticia;12
diferente;12
ctz;12
segundo;12
primos;11
logo;11
boa;11
role;11
sala;11
qdo;11
eleven;11
cada;11
lugar;11
busao;11
umas;11
manhã;11
sobre;11
dá;11
cabeça;11
veio;11
carona;11
pessoa;11
inteira;11
contra;11
lembro;11
lá;11
precisa;11
rito;11
skin;11
zap;10
miley;10
abrir;10
4;10
vezes;10
desse;10
omitted;10
anos;10
ano;10
nas;10
graça;10
audio;10
quase;10
chama;10
quer;10
ideia;10
brasil;10
algum;10
meme;10
tiver;10
ed2;10
são;10
embora;10
sempre;10
-;10
was;10
chernobyl;10
carro;10
igual;10
🎶;10
errado;10
ganhar;10
md5;10
paia;10
d;10
fiz;10
in;10
damwon;10
clutch;10
live;10
pela;9
amigos;9
berti;9
caso;9
pessoas;9
sendo;9
ve;9
estar;9
tomar;9
arthur;9
essas;9
levar;9
chegar;9
toda;9
dessa;9
então;9
qualquer;9
tá;9
olho;9
chamar;9
saber;9
message;9
deleted.;9
comida;9
passar;9
senhora;9
esses;9
passa;9
vetor;9
até;9
campinas;9
conto;9
existe;9
estudar;9
c9;9
coreano;9
mal;9
fiora;9
olhar;8
viu;8
saiu;8
tarde;8
2019;8
evento;8
caio;8
nosso;8
curso;8
nessa;8
adm;8
filme;8
pros;8
suave;8
full;8
normal;8
apenas;8
chamyto;8
ai?;8
outros;8
fundo;8
sara;8
gosto;8
nego;8
ficou;8
passou;8
0;8
mãe;8
compra;8
fosse;8
intz;8
carta;8
seja;8
luci;8
final;8
pouco;8
mata;8
falei;8
feio;8
tanto;8
disse;8
triste;8
splyce;8
turco;8
robo;8
group;7
bruno;7
entre;7
msm;7
dps;7
lucas;7
gosta;7
causa;7
20;7
fim;7
acha;7
onde;7
x;7
inteiro;7
guerreiro;7
perde;7
@5512996320280;7
parte;7
posso;7
vamo;7
deixar;7
muié;7
segredo;7
dizer;7
seria;7
7;7
usa;7
piscina;7
pior;7
lembra;7
bater;7
deixa;7
começou;7
celular;7
cola;7
pegou;7
semana;7
30;7
legal;7
que?;7
mae;7
cookie;7
bate;7
safe;7
brisa;7
fight;7
tivesse;7
tiago;7
mid;7
feliz;7
vejo;7
hoje;7
xurimpe;7
buff;7
dinheiro;7
importante;7
pc;7
pagar;7
cai;7
enquanto;7
brabo;7
facul;7
todas;7
play;7
griffin;7
mengao;7
free;7
g2;7
tl;7
passe;7
sac;7
deles;7
musica;7
familia;6
ban;6
quiser;6
mandando;6
mono;6
historia;6
mandou;6
pora;6
@5511954263132;6
joguei;6
parece;6
mesma;6
👎🏻;6
link;6
amo;6
comigo;6
professora;6
acordo;6
grande;6
preciso;6
drauzio;6
seguinte;6
muçar;6
@5515981646757;6
dando;6
alguém;6
toma;6
já;6
aconteceu;6
caralho;6
disso;6
voltar;6
coisas;6
fizeram;6
mandei;6
fire;6
querendo;6
bola;6
twitter;6
filha;6
fap;6
aos;6
meia;6
podia;6
entendi;6
cabess;6
safado;6
tela;6
show;6
preso;6
comparar;6
doce;6
linda;6
vira;6
=;6
prof;6
prox;6
odeio;6
literalmente;6
b;6
goku;6
chave;6
direito;6
algo;6
sabonete;6
num;6
primeira;6
professor;6
lista;6
vdd;6
bd;6
ap;6
chegou;6
fase;6
skt;6
trabalho;6
email;6
ed;6
nuguri;6
coringa;6
prestígio;6
description;5
saindo;5
daqui;5
hypado;5
guys;5
colocar;5
@5516997121580;5
acaba;5
treta;5
anime;5
pastor;5
mão;5
bin;5
amor;5
gostosa;5
chamando;5
calor;5
humano;5
aparecer;5
nova;5
família;5
será;5
cama;5
fogo;5
serio;5
true;5
minuto;5
perder;5
cabelo;5
busão;5
estou;5
acabando;5
colar;5
fuder;5
quarto;5
faze;5
numa;5
rpg;5
fita;5
pedir;5
lançar;5
duas;5
motivo;5
obrigado;5
zaina;5
foram;5
tal;5
teta;5
mulher;5
preta;5
ouve;5
carne;5
explode;5
direto;5
🎵;5
🔊;5
terno;5
porrada;5
morma;5
cartinha;5
longe;5
rizzi;5
online;5
é?;5
né?;5
brasileiro;5
passando;5
+;5
tão;5
solo;5
jeito;5
outras;5
seleção;5
gold;5
jogos;5
caras;5
cima;5
foda-se;5
gay;5
6;5
coach;5
passado;5
apresentar;5
lendo;5
virou;5
tiltar;5
rua;5
bloco;5
vivo;5
conta;5
pergunta;5
feito;5
perdeu;5
holograma;5
linux;5
bonita;5
fico;5
tomando;5
rock;5
frase;5
natã;5
turquia;5
acabou;5
horroroso;5
palavra;5
assistir;5
começa;5
materia;5
sahudy;5
kkkkkkkkkkkkkkk;5
i;5
facil;5
br;5
royal;5
draft;5
escrever;5
legends;5
runeterra;5
combo;4
random;4
&;4
zuando;4
google;4
curioso;4
pras;4
doente;4
volta;4
agora?;4
tamanho;4
problema;4
nele;4
maneira;4
dente;4
pequeno;4
quieto;4
betando;4
zé;4
leva;4
18;4
pós;4
entende;4
gadando;4
trocar;4
suas;4
face;4
cabo;4
fechar;4
almoço;4
mao;4
pegando;4
dormindo;4
sexta;4
feira;4
perto;4
grupo?;4
acontecer;4
fudendo;4
desculpa;4
empreenda;4
peguei;4
está;4
hahaa;4
pablo?;4
piada;4
dava;4
vamos;4
diferentes;4
teu;4
batman;4
mini;4
youtube;4
tu;4
humilde;4
criança;4
curto;4
ouvir;4
após;4
festa;4
atrás;4
possível;4
pediu;4
pelado;4
newba;4
22;4
cacete;4
rola;4
brtt;4
entendo;4
morre;4
tey;4
pé;4
sentar;4
ontem;4
corpo;4
outra;4
começar;4
15;4
segundos;4
dois;4
diria;4
ajuda;4
mlk;4
👎;4
perdi;4
gostei;4
fiquei;4
👢bota;4
🥁;4
nossa;4
rim;4
muda;4
famoso;4
sabado;4
is;4
slide;4
esta;4
lab;4
acabar;4
achar;4
player;4
vir;4
split;4
kkkkkkk;4
cblol;4
reais;4
ganhou;4
carro?;4
esa;4
bronziocre;4
pensei;4
otaco;4
declaro;4
querer;4
linguiça;4
consegue;4
sujo;4
pena;4
cs;4
esperando;4
toplaner;4
tive;4
sabia;4
morte;4
kkkkkkkkk;4
esperar;4
porta;4
morto;4
tentando;4
mesmo?;4
achei;4
muie;4
vale;4
skr;4
fudido;4
9;4
ultima;4
ponto;4
estão;4
chega;4
cozinha;4
tentar;4
3x;4
memo;4
teve;4
@5516991310978;4
@5511997111223;4
outubro;4
primeiros;4
es;4
sp;4
vaga;4
conseguem;4
s;4
playlist;4
sqtpm;4
puto;4
pick;4
shok;4
mapa;4
j;4
tentei;4
devia;4
manager;4
funciona;4
t;4
deram;4
rolando;4
mega;4
precisar;4
midgame;4
team;4
ranger;4
extensão;4
pizza;4
kaisa;4
loja;4
rp;4
gomes;4
twitch;4
prestigio;4
especial;3
projeto;3
região;3
bait;3
seus;3
desumilde;3
responde;3
ler;3
arma;3
gustavo;3
cosi;3
reclama;3
jovens;3
eu,;3
dormiu;3
adicionar;3
aviso;3
barato;3
blood;3
simplesmente;3
explicar;3
parede;3
ficava;3
boca;3
your;3
trancar;3
mesa;3
tranca;3
travado;3
guerreiros;3
gadar;3
saia;3
tirar;3
realmente;3
beber;3
qq;3
soltar;3
farpas;3
amizade;3
sido;3
continuar;3
fecha;3
careca;3
cair;3
mancada;3
nessas;3
caixa;3
ow;3
não,;3
postar;3
hentai;3
acontece;3
loco;3
energia;3
caiu;3
faca;3
salvou;3
floresta;3
perai;3
patelli;3
certeza;3
udyr;3
machista;3
uso;3
cagando;3
prato;3
classico;3
próprio;3
dj;3
subiu;3
cm;3
gigantesca;3
poder;3
odio;3
farpando;3
felicidades;3
recebeu;3
fome;3
ru;3
trampar;3
perdendo;3
drone;3
resposta;3
cena;3
dela;3
trabalhar;3
note;3
cel;3
perfeito;3
you;3
original;3
fds;3
momento;3
pariu;3
dick;3
numero;3
raba;3
neném;3
📢;3
calculo;3
autista;3
dias;3
@5515997769345;3
sabaton;3
banda;3
festival;3
tou;3
quebrar;3
bunda;3
max;3
katti;3
braba;3
bonito;3
cheiro;3
espaço;3
brain;3
rodoviária;3
manjo;3
er;3
cornos;3
insano;3
sentido;3
bcc;3
usando;3
nisso;3
boi;3
ai,;3
consegui;3
voltou;3
auge;3
msi;3
@5519999986064;3
pode?;3
tf;3
gastar;3
vlad;3
power;3
falta;3
daquele;3
micao;3
baron;3
botou;3
adc;3
sobrancelha;3
branca;3
doença;3
pe;3
posta;3
lula;3
branco;3
banho;3
semestre;3
kkkkkkkkkkk;3
vive;3
mesmo,;3
disposto;3
nenhum;3
post;3
quis;3
frio;3
miojo;3
finalmente;3
churrasco;3
muito;3
dificil;3
duvida;3
redes;3
despertador;3
brinquedo;3
metal;3
aqui,;3
noia;3
começo;3
promessa;3
federal;3
chat;3
camisa;3
entrando;3
corretor;3
possivel;3
errada;3
curti;3
macinha;3
unica;3
alto;3
cupom;3
bb;3
lindo;3
gang;3
apanhar;3
imagem;3
confiar;3
encontrar;3
fazem;3
perdido;3
pelos;3
donut;3
sorvete;3
roupa;3
pego;3
chego;3
tentou;3
entrar;3
inferno;3
ashe;3
uai;3
zero;3
dei;3
quilo;3
visto;3
stun;3
gato;3
durante;3
sujeira;3
viagem;3
fake;3
ultimo;3
conseguiu;3
22h;3
qual;3
pijama;3
aleatoriamente;3
seloco;3
presta;3
bot;3
merece;3
ovo;3
seed;3
ig;3
tsm;3
farma;3
chines;3
sorte;3
cego;3
pressão;3
estraga;3
greve;3
baianor;3
total;3
tamo;3
refri;3
wild;3
alguma;3
candida;3
entregou;3
mario;3
op;3
hmmm;3
aqueles;3
sonho;3
nivel;3
ainda?;3
camiseta;3
ryze;3
reverso;3
codigo;3
entrou;3
carai;3
resolver;3
erro;3
🙏;3
dor;3
gostar;3
horrivel;3
mereu;3
yakult;3
instalei;3
fisica;3
faculdade;3
mercado;3
tp;3
:);3
?;3
liga;3
diz;3
ult;3
aatrox;3
patch;3
showmaker;3
early;3
youth;3
lowkey;3
ganhando;3
40;3
botlane;3
troca;3
forte;3
gringa;3
praticamente;3
torre;3
will;3
smith;3
concordo;3
extensão?;3
quarta;3
dog;3
ranked;3
xd;3
desde;3
corninga;3
impact;3
fpx;3
50;3
25;3
ekko;3
feriado;3
8;3
client;3
grana;3
yuumi;3
sona;3
premio;3
pre;3
fps;3
rift;3
ancião;3
100;3
yasuo;3
edição;3
fox;2
armas;2
campenis;2
rave;2
transcender;2
continua;2
formar;2
ele?;2
respeito;2
tbm?;2
nude;2
irmão;2
neeko;2
insta;2
noção;2
sabor;2
day;2
querem;2
nao?;2
verdadeiro;2
ze;2
duma;2
votação;2
carinho;2
tendo;2
500;2
raid;2
invasão;2
halloween;2
tankar;2
“ow;2
cuzao;2
again;2
américa;2
durou;2
crossovers;2
pedi;2
deletar;2
clã;2
lec;2
excursão;2
batia;2
zuar;2
heroi;2
roxo;2
chegando;2
xibiu;2
notebook;2
profissional;2
matéria;2
subject;2
“boa;2
faço;2
usb;2
turma;2
piloto;2
@5519982733551;2
conseguir;2
crime,;2
prender;2
7:20;2
expresso;2
paulo;2
messenger;2
favoritos;2
quinta;2
sozinho;2
oficial;2
morreu;2
permitido;2
interrogação;2
wtf;2
acham;2
surge;2
sombra;2
pessoais;2
insuportaveis;2
facul*;2
mães;2
contar;2
parada;2
manteve;2
pipoca;2
soco;2
parecer;2
cedo;2
12:30;2
comendo;2
comigo?;2
mina.;2
pensando;2
mestrado;2
ala;2
humildade;2
predio;2
pede;2
opinião;2
rumo;2
conhecimento;2
coisa:;2
calcinha;2
escondida;2
barro;2
indiano;2
tarado;2
cirurgia;2
explicação;2
verdade;2
sentindo;2
falo;2
definitivamente;2
nenhuma;2
vidro;2
casamento;2
rs;2
le;2
perguntar;2
queremos;2
sentir;2
galerinha;2
tiltou;2
terceiro;2
passo;2
23;2
clássica;2
habilidade;2
crashou;2
compro;2
impede;2
pinto;2
tabu;2
gamer;2
acabei;2
baixar;2
anão;2
adiciona;2
joguinho;2
justo;2
chacota;2
mills;2
fanbase;2
cnb;2
banco;2
aniversário;2
@;2
segredos;2
passamos;2
pressa;2
intervalo;2
blusa;2
mes;2
pegadinha;2
garai;2
bom?;2
zoa;2
graveto;2
levou;2
mato;2
luz;2
hahaas;2
achando;2
pufavo;2
september;2
procura;2
key;2
terceira;2
legal,;2
pensa;2
tirando;2
assim?;2
meta;2
msg;2
giga;2
contas;2
basicamente;2
unha;2
menino;2
entrevista;2
sertanejo;2
sorocaba;2
segunda;2
terminal;2
sehloiro;2
udy;2
moço;2
morar;2
super;2
2x;2
what;2
pouca;2
tem?;2
18:00;2
levando;2
primórdios;2
raiz;2
aceito;2
ocupado;2
parou;2
pensar;2
marcado;2
uma,;2
etc;2
morrer;2
12;2
judas;2
baby;2
amazing;2
ex;2
f;2
rindo;2
olhando;2
criar;2
recorde;2
cadeira;2
é:*;2
atrações;2
pais;2
gratis;2
bora;2
café;2
net;2
tranquilo;2
texto;2
kkkkkkkkkk;2
baiana;2
olhei;2
pera;2
rosto;2
bochecha;2
pao;2
geladeira;2
esquema;2
aberto;2
veia;2
dentista;2
brunao;2
roda;2
fuga;2
pista;2
more;2
fudeu;2
empresa;2
informação;2
ensino;2
banana;2
definição;2
invertida;2
marcar;2
lousa;2
rapaziada;2
ficado;2
minhas;2
base;2
role?;2
my;2
inglês;2
demitido;2
confio;2
duro;2
kami;2
tbm,;2
manter;2
batata?;2
neri;2
20-25;2
milhoes;2
busca;2
sarrafo;2
intrepido;2
clubismo;2
luta;2
2015;2
times;2
time,;2
comparecer;2
posição;2
call;2
importa;2
unico;2
odeia;2
200%;2
toxico;2
tt;2
leu;2
virar;2
