Nome;Número de Mensagens;Stickers;Imagens;Áudios
Drauzio;1221;30;30;8
Palavra;Frequência
que;111
o;99
a;88
de;86
é;70
eu;64
?;60
nao;57
do;54
no;54
pra;46
e;45
da;40
ele;38
na;36
ta;31
uma;31
com;30
vai;30
vc;30
para;29
um;27
só;23
se;23
ja;23
em;21
tem;21
por;20
gente;19
dia;19
mais;18
la;18
fazer;18
os;18
aqui;17
mto;17
to;16
message;16
was;16
deleted.;16
ainda;16
ela;15
vou;14
me;13
ou;13
ser;13
mina;12
cara;12
lol;12
grupo;11
eles;11
falar;11
as;11
nunca;11
era;11
mesmo;11
sei;10
ai;10
tava;10
agr;10
esse;10
essa;10
caras;10
isso;10
sim;10
melhor;9
3;9
quem;9
nada;9
queria;9
ver;9
pq;9
cada;9
foi;9
nem;8
bom;8
2;8
meu;8
sao;8
foto;8
coisa;8
hoje;8
também;7
faz;7
hj;7
vcs;7
mano;7
como;7
sua;7
tambem;7
pro;7
mas;7
assim;7
ter;6
outro;6
acho;6
tenho;6
dele;6
semana;6
depois;6
tinha;6
mal;6
jogar;6
colocar;6
porra;6
minha;6
pegar;6
tipo;6
mc;6
brinquedo;6
mensagem;5
sabe;5
começar;5
muito;5
diamante;5
casa;5
jogo;5
alguem;5
sem;5
4;5
quero;5
vez;5
mundo;5
comer;5
dois;5
dar;5
hora;5
10;5
fazendo;5
dos;5
mulher;5
achei;5
reais;5
ambev;5
toy;5
léo;4
entao;4
fala;4
1;4
diferença;4
outra;4
nome;4
estar;4
umas;4
todo;4
dela;4
irmão;4
leo;4
cu;4
fui;4
tao;4
pode;4
q;4
portas;4
dinheiro;4
sempre;4
quer;4
tudo;4
frente;4
fixa;4
meio;4
gi;4
ate;4
breja;4
100%;4
te;4
falou;4
seu;4
sorocaba;4
onde;4
ne;4
yummi;4
funcionario;4
legal;3
contra;3
entre;3
entendi;3
vejo;3
facul;3
das;3
esperando;3
jogando;3
indo;3
sabia;3
acabou;3
lolzinho;3
cheguei;3
mandou;3
mandei;3
verinha;3
ouvir;3
corno;3
chifre;3
fiz;3
bem;3
descobrir;3
";3
namorada;3
aparece;3
proibido;3
6;3
mim;3
agora;3
tusca;3
ano;3
posso;3
pedir;3
existem;3
70;3
seja;3
vendo;3
qualquer;3
amiga;3
pelo;3
resto;3
linha;3
coluna;3
coloca;3
real;3
falando;3
entrar;3
pior;3
não;3
vem;3
vota;3
,;3
treta;3
estag;3
meus;3
quiser;3
junto;3
voltar;3
5;3
mãe;3
vocês;3
nas;3
costas;3
pau;3
bad;3
mala;3
suave;3
md5;3
blitz;3
horas;3
conhecer;3
vezes;3
amor;3
aula;3
trabalho;3
quando;3
:;3
alguma;3
the;3
subject;3
riot;3
partida;3
vidro;3
ruim;3
x;3
entra;3
tft;3
email;3
rizzi;2
algo;2
merdas;2
coisas;2
aquilo;2
mandam;2
mil;2
tempo;2
ler;2
disso;2
react;2
primos;2
pa;2
causa;2
caio;2
fica;2
nenhum;2
minas;2
falam;2
adm;2
mormaço;2
brisa;2
localização;2
carro;2
duo;2
subir;2
plat;2
adc;2
alguns;2
dias;2
rpg;2
fds;2
ap;2
viu;2
cagando;2
maluco;2
achava;2
ex;2
anime;2
algum;2
saiu;2
precisa;2
manda;2
aquele;2
enorme;2
levo;2
ban;2
falei;2
imaginar;2
pela;2
conhece;2
ultima;2
ninguem;2
pagou;2
pega;2
topo;2
imagem;2
@5519993807942;2
saber;2
guys;2
garantida;2
perdi;2
fodasse;2
vdd;2
perder;2
levar;2
chegar;2
dilema;2
gostosa;2
matei;2
!!!;2
ficar;2
prova;2
mentira;2
mandar;2
brinquedo";2
recebe;2
gosto;2
caixas;2
escola;2
postou;2
mesma;2
dedo;2
fosse;2
cota;2
maior;2
7;2
formula;2
terminar;2
primeira;2
abri;2
voce;2
vida;2
eleven;2
leva;2
obvio;2
chega;2
20;2
mins;2
tarde;2
d;2
nos;2
celula;2
travar;2
numero;2
conseguiu;2
sla;2
versão;2
normal;2
moral;2
meme;2
seus;2
motivo;2
sentido;2
todos;2
achar;2
outros;2
merda;2
existe;2
amizade;2
homem;2
solteiros;2
ctz;2
rola;2
novo;2
ai.;2
conta;2
choko;2
shinki;2
varios;2
linux;2
preta;2
conseguir;2
são;2
amigos;2
ideia;2
dormir;2
segunda;2
nesse;2
jogou;2
comemorar;2
grande;2
fizeram;2
homeoffice;2
terça;2
champ;2
!;2
vi;2
quase;2
rosto;2
lacre;2
conheço;2
bem,;2
sentir;2
está;2
role;2
puta;2
ao;2
saindo;2
mó;2
trabalhando;2
elev;2
ganhar;2
boca;2
demais;2
facil;2
aulas;2
tirei;2
deu;2
gay;2
barato;2
cristiano;2
sp;2
shink;2
-;2
som;2
comprou;2
capinha;2
ein;2
sente;2
feliz;2
brabo;2
latinha;2
ahri;2
ouvindo;2
musica;2
fácil;2
amo;2
tanto;2
quanto;2
buga;2
nosso;2
tendo;2
suas;2
consegui;2
bebida;2
fome;2
cade;2
menos;2
saude;2
desligado;2
vao;2
contratado;2
fez;2
qual;2
próxima;2
pc;2
chefe;2
feira;2
sexo;2
mundial;2
windows;2
s;2
t;2
r;2
resposta;2
faria;2
hbsis;2
chinelo;2
lado;2
trabalhar;2
ranked;2
super;2
olha;2
travando;2
mmorpg;2
stream;2
partidas;2
esquece;1
daora;1
fazem;1
pas;1
votei;1
sensatos;1
prefiro;1
ameaçar;1
soltar;1
power;1
celular;1
receber;1
erro;1
apaguei;1
piorou;1
trabalho.;1
1/3;1
marcaram;1
anda;1
basico;1
explica;1
transformação;1
ned?!?!?!?;1
membros;1
áudio;1
tendi;1
adicionando;1
problema;1
adicionar;1
toda;1
adiciono;1
metade;1
dita;1
ada;1
segredo;1
barganhar;1
esperam;1
estao;1
carrao;1
fonte;1
°;1
esperava;1
intergeracoes;1
amanha;1
você;1
preferia;1
pablo,;1
leozin,;1
giovani;1
natham?*;1
lol*;1
tentar;1
seguir;1
dica;1
cait;1
cai;1
tilto;1
secot;1
rolar;1
então;1
focar;1
online;1
que?;1
jg?;1
botandop;1
fé;1
semi;1
cbl2ol3;1
@5516997121580;1
lavar;1
roupa;1
hauahahah;1
cueca;1
festa;1
icon;1
rir;1
loucasso...;1
aleatório;1
kkkkkkkkk;1
falado;1
quietinho;1
timido;1
gentil;1
talz;1
chegou;1
jsushauahha;1
terena;1
abaixo;1
seg;1
startar;1
milagre;1
bebado;1
nude;1
morena*;1
saber...;1
bem.;1
caralho.;1
parecendo;1
porno;1
bonequinha;1
palavra;1
1°;1
semestre;1
anjinho;1
sorrindo;1
semen;1
escorrendo;1
cara,;1
grudada;1
sobrancelha?;1
ficaram;1
semanas;1
julgando;1
,m;1
tomou;1
putinhas;1
comeu;1
excessão;1
vaza....;1
treinando;1
audio;1
conseguindo;1
morto;1
cara";1
lc;1
reuniao;1
voando;1
conversa;1
atrás;1
afiar;1
condição;1
posta;1
curtida;1
primeiro;1
run(sla;1
);1
run;1
nfs;1
udyr;1
fora?;1
rua;1
aguenta;1
aparecer;1
avó;1
quarto;1
terra;1
toma;1
descente;1
ficariam;1
cego;1
olho;1
olhos;1
saudáveis;1
inveja;1
vantagem;1
pessimos;1
ninguém;1
vários;1
"namorada;1
responder;1
chokao;1
print;1
top;1
música;1
gang;1
bang;1
tiver;1
branco;1
garrafa;1
600;1
cerveja;1
original;1
funcionario.;1
comprar;1
mês;1
numtem;1
voces;1
perderem;1
nfs?;1
canal;1
inutilismo;1
praia;1
sera;1
dessa;1
lanço;1
javascript;1
negocio;1
lógico;1
operação;1
contraria;1
coiaa;1
igualdade;1
atenção;1
passar;1
confidendy;1
até;1
efetivado.;1
enquanto;1
estourou;1
coronita;1
caixa;1
caixinhas;1
brejas;1
precisar;1
geladeira;1
sala;1
salas;1
4+4-1;1
fizer;1
140;1
*;1
/;1
4+4+4-2;1
terror;1
verinhaaaaaaaaaaaaaa;1
passei;1
madrugada;1
inteira;1
postada;1
twitter;1
sim.;1
segui;1
kkkkk;1
destruir;1
nsfw;1
confiei;1
posts;1
miniaturas;1
?!?!?;1
jantou;1
choko?;1
caro?;1
programa;1
fidelidade;1
antes;1
vez?;1
2015;1
😍;1
paladino;1
dando;1
palestrinha;1
upando;1
entrega;1
né?;1
is;1
that;1
girl?;1
regra;1
grupo.;1
criminoso.;1
faço;1
.;1
mancada;1
acaba;1
passagem;1
segundo;1
atrasado;1
perde;1
perto;1
arrastar;1
copiar;1
"$";1
c;1
arrasta;1
$;1
letra;1
número;1
fórmula;1
estranha;1
também....;1
a-a;1
0;1
esquema;1
provávelmente;1
servir;1
muda;1
linhas/coluna;1
bora;1
jantar;1
uns;1
newba;1
baixar;1
zuado;1
artificial;1
lente;1
parecer;1
adequado;1
anéis;1
vale;1
pena;1
extendida;1
netflix;1
gata;1
papai;1
br?;1
mae;1
sou;1
oficial;1
assim.;1
doente.;1
doente;1
amigos.;1
suficiente;1
chifrudo;1
pensa;1
fuder;1
char;1
neutral;1
evil;1
cuzao;1
seguinte.;1
possa;1
pessoal;1
mentores;1
(ambos;1
solteiros)*;1
for;1
zuada;1
notarem;1
votou;1
namoram.;1
votaram;1
padrão;1
solteiro;1
comprometido;1
correlação;1
esta;1
comprometedora;1
estagiário;1
plausível;1
efetiva;1
comprometida;1
transformar;1
solteira;1
vira;1
promover;1
elite;1
votação;1
corum;1
mínimo;1
ge;1
estragada;1
dificil;1
transição;1
passou;1
mta;1
fatores;1
if;1
else;1
pouco;1
fato;1
mao;1
fora;1
bolso;1
luz;1
banheiro;1
acesas;1
gostam;1
culpa;1
filmes;1
piram;1
principais;1
motivos;1
convencer;1
pais;1
normalmente;1
sabem;1
unicas.;1
apresentar;1
churrasco;1
amigos/pais;1
funciona;1
abro;1
"esteja;1
demonstrando;1
afeto";1
compram;1
depressivo;1
anos;1
demonstrar;1
tera;1
domigo;1
comp;1
formatura?;1
clash;1
sabado*;1
teve;1
summer's;1
rift;1
bandeira;1
campeão;1
permanente;1
permite;1
escrita;1
conteúdo;1
sexual,;1
games;1
transmissão;1
riben;1
peituda;1
fofinha;1
trampo;1
liberaram;1
pego;1
eterno;1
encontrei;1
jungle;1
logo;1
aquela;1
redbull....;1
neymar;1
compre;1
evento;1
comprando;1
comprada;1
funcionamento;1
promoção;1
redbull*;1
acefalo;1
buraco;1
errado;1
pessoal,;1
gabriel.alguns;1
apenas;1
nome,;1
desse;1
orarem;1
ele.;1
começou;1
desconfortável;1
almoço;1
internado;1
hospital;1
albert;1
einstein;1
pediu;1
vocês,;1
mal,;1
fortes;1
dores;1
médicos;1
suspeitam;1
peso;1
