Nome;Número de Mensagens;Stickers;Imagens;Áudios
Leozin;4984;143;81;79
Palavra;Frequência
o;319
de;206
a;202
é;172
do;116
eu;112
no;104
não;100
q;98
vc;94
e;94
pra;89
na;86
que;85
cara;80
com;77
tem;75
um;74
mano;70
da;68
ele;67
vai;63
isso;62
em;62
os;60
mais;54
tá;54
ser;53
deus;51
moral;49
mt;48
muito;48
vou;44
mina;41
por;38
só;38
ai;37
bom;36
nao;36
foi;35
grupo;35
tô;34
meu;34
agr;33
n;32
as;31
nada;30
uma;30
lá;30
tbm;30
pablo;30
ir;27
falar;26
nem;25
se;25
demais;25
ta;24
tudo;24
esse;24
natham;24
me;22
meme;22
seu;21
mundo;21
já;21
vcs;21
ver;20
pro;20
jogar;20
bota;20
aqui;19
eh;19
melhor;19
assim;19
ja;19
eleven;19
dos;19
jogo;19
casa;19
pode;18
gnt;18
dar;18
ela;18
aí;18
pq;17
cosi;17
pqp;17
lol;17
nois;16
toy;16
ter;16
era;16
oq;16
indo;16
sei;15
daora;15
sua;15
queria;15
ainda;15
hj;15
fazer;15
quer;14
msm;14
sem;14
2;14
para;14
tenho;14
ficar;14
lixo;13
acho;13
ctz;13
la;13
to;13
primo;13
facul;13
omitted;13
ney;13
te;12
mlk;12
mim;12
porra;12
fala;12
mormaço;12
essa;12
sabe;12
até;12
verinha;12
falando;12
tipo;12
fica;12
sujo;12
aq;12
mulher;12
t;12
i;12
faz;11
falou;11
pegar;11
dele;11
meio;11
man;11
minha;11
aula;11
true;11
dia;11
tava;11
amigo;11
s;11
m;11
dá;10
vem;10
time;10
elo;10
cuzao;10
for;10
1;10
eles;10
choko;10
reais;10
h;10
r;10
g;10
né;9
vezes;9
ou;9
maldade;9
merda;9
burro;9
foda;9
amigos;9
curto;9
dela;9
sou;9
@5512996320280;9
mandar;9
são;9
mesmo;9
betando;9
gado;9
top;9
3;9
nunca;9
ao;9
frente;9
🎶;9
ceu;9
betar;9
nesse;8
qd;8
dando;8
rizzi;8
anos;8
perder;8
igual;8
disso;8
dps;8
quero;8
falei;8
bem;8
mal;8
op;8
passar;8
vm;8
gosto;8
comer;8
guys;8
morma;8
flamengo;8
geral;7
tinha;7
tão;7
sair;7
cu;7
ficou;7
foto;7
udyr;7
carro;7
pau;7
low;7
@5519982733551;7
lugar;7
como;7
saber;7
6;7
mc;7
celular;7
ruim;7
todos;7
real;7
levar;7
menos;7
pai;7
gosta;7
game;7
quem;7
paia;7
ano;7
existe;7
?```;7
volta;6
passa;6
krl;6
full;6
logo;6
carona?;6
passe;6
pega;6
acha;6
u;6
família;6
vergonha;6
normal;6
errado;6
fodase;6
fez;6
10;6
newba;6
ia;6
5;6
kami;6
dias;6
tempo;6
homem;6
incluso;6
jogando;6
robô;6
ganha;6
ngm;5
antes;5
pegou;5
sim;5
sujeira;5
coisa;5
prós;5
fuder;5
mas;5
conversar;5
gente;5
pensando;5
querendo;5
boca;5
amo;5
mylao;5
visto;5
mó;5
ideia;5
outra;5
noite;5
embora;5
feliz;5
fora;5
você;5
min;5
kkkkkkk;5
rs;5
brisa;5
fui;5
mandou;5
yakult;5
caio;5
deu;5
the;5
joga;5
acabar;5
vivo;5
agora;5
rei;5
🎵;5
🔊;5
saco;5
crack;5
puta;5
pouco;5
estilo;5
parar;5
junto;5
stream;5
kkkk;5
kkkkkkkk;5
açaí;5
fosse;5
algo;5
fut;5
grande;5
nos;5
vendo;5
mundial;5
>;5
riot;5
carta;5
conversa;4
direito;4
extensão;4
vei;4
x;4
deles;4
kkkkkk;4
nisso;4
alguém;4
mesma;4
querer;4
comeu;4
essas;4
teoria;4
this;4
group's;4
icon;4
coloquei;4
outro;4
main;4
vi;4
favor;4
carinha;4
morrer;4
sozinho;4
tanto;4
começar;4
aí?;4
gold;4
vida;4
pessoa;4
boa;4
diferente;4
dentro;4
zoando;4
pior;4
coisas;4
certo;4
hora;4
audio;4
nome;4
fake;4
final;4
sepa;4
in;4
fiz;4
podia;4
brabo;4
td;4
call;4
hi;4
precisa;4
dó;4
@5515981646757;4
:(;4
raba;4
neném;4
📢;4
👢bota;4
🥁;4
literalmente;4
chegando;4
4;4
prof;4
duas;4
confio;4
kkkkk;4
perdeu;4
torce;4
intz;4
desse;4
linux;4
conseguir;4
todo;4
arthur;4
imitar;4
puto;4
curte;4
+;4
doente;4
duo;4
aquela;4
comprar;4
amor;4
briga;4
abri;4
preso;4
tsm;4
turco;4
jg;4
ganhar;4
free;4
federal;3
daqui;3
corno;3
sempre;3
brinquedo;3
feito;3
bagulho;3
dei;3
kick;3
braço;3
contra;3
shok;3
bala;3
drauzio;3
fazendo;3
1/10;3
mudou;3
msm?;3
deixa;3
aquu;3
marcado;3
poder;3
leozinho;3
colocar;3
falaram;3
vdd;3
tarde;3
questão;3
vira;3
@5519999986064;3
vier;3
cmg;3
lembro;3
posso;3
uns;3
carente;3
música;3
aonde;3
outros;3
opinião;3
stalker;3
toda;3
chega;3
sendo;3
fodendo;3
segurança;3
fim;3
xingando;3
video;3
vontade;3
-;3
elite;3
fogo;3
correndo;3
velho;3
controle;3
estou;3
nofap;3
conta;3
f;3
crime;3
roxo;3
vir;3
fácil;3
esses;3
ap;3
forte;3
amanhã;3
cedo;3
@5511971696565;3
mãe;3
god;3
fap;3
cs;3
adm;3
vamos;3
piscina;3
morreu;3
@5511954263132;3
problema;3
número;3
impossível;3
amado;3
planeta;3
vão;3
comendo;3
katti;3
menino;3
breja;3
60;3
caro;3
apenas;3
colocou;3
osso;3
gasta;3
100;3
subcurso;3
falo;3
deusssss;3
narga;3
rpg;3
rolê;3
consigo;3
ajudar;3
macro;3
0;3
das;3
melhores;3
animal;3
cama;3
coach;3
on;3
@5515997769345;3
@5515981005099;3
brasil;3
bater;3
otaku;3
zoa;3
camisa;3
fuma;3
carona;3
voz;3
usa;3
11;3
tiver;3
cada;3
irmão;3
gostando;3
beber;3
kkkkkkkkkkkkk;3
juro;3
memo;3
macinha;3
msg;3
hrs;3
iria;3
chato;3
enchendo;3
betador;3
deixou;3
acad;3
facil;3
olhar;3
engraçado;3
criminoso;3
deve;3
xips;3
dou;3
vindo;3
7;3
fecha;3
passando;3
16;3
obrigação;3
humano,;3
my;3
estudar;3
lolzinho;3
subject;3
gi;3
jukes;3
loco;3
ban;3
vista;3
placa;3
fdp;3
glock;3
curti;3
gp;3
aprender;3
cansado;3
shaco;3
boneco;3
vera;3
pequeno;3
tl;3
c9;3
???```;3
9;3
pelo;3
riven;3
pontos;3
power;2
teta;2
chupar;2
