Nome;Número de Mensagens;Stickers;Imagens;Áudios
Lucas Toniello:;1287;58;57;1
Palavra;Frequência
o;190
de;114
q;108
a;104
não;97
eh;93
do;87
que;70
pra;70
no;60
eu;54
da;53
com;53
e;48
em;47
ta;47
vai;41
um;40
pablo;39
na;35
uma;33
ele;33
dia;31
gente;30
os;28
só;28
vc;28
se;27
tem;26
cara;26
mais;25
grupo;23
isso;20
aula;20
ser;19
essa;19
aqui;19
ai;19
me;18
tbm;18
era;18
já;18
meu;18
to;17
as;17
foi;16
ainda;16
é;16
fazer;15
1;15
dele;14
👍;14
falar;14
como;14
msm;13
faz;13
esse;13
quer;13
tudo;13
agora;13
até;12
pastor;12
foto;12
boa;12
tipo;11
mormaço;11
nada;11
todo;11
ver;11
casa;11
então;11
sticker;10
mundo;10
fica;10
mto;10
quem;10
vezes;10
te;10
ia;10
nem;9
melhor;9
primo;9
10;9
mas;9
ter;9
ficar;9
falando;9
por;8
pau;8
pq;8
primeiro;8
quando;8
mina;8
sei;8
tenho;8
mim;8
vdd;8
arthur;8
são;8
antes;8
outro;7
hora;7
das;7
pro;7
lá;7
pode;7
mc;7
vou;7
sou;7
top;7
sem;6
noite;6
seu;6
sair;6
eles;6
pergunta;6
atenção;6
vez;6
minha;6
sim;6
dos;6
bom;6
role;6
ou;6
carona;6
sabe;6
moral;6
natham;6
leo;6
vi;6
ufscar;6
nosso;5
tão;5
assim;5
realmente;5
dessa;5
trab;5
você;5
vamo;5
nesse;5
vendo;5
mal;5
vcs;5
sempre;5
morma;5
sua;5
gado;5
crime;5
passar;5
drauzio;5
dar;5
ninguém;5
lado;5
parece;5
cosi;5
semana;5
chegar;5
teve;5
vão;5
ela;5
chamar;5
facul;5
coisa;5
jogar;5
prova;5
mandar;4
foda;4
dias;4
zap;4
sai;4
banir;4
tarde;4
amigo;4
msg;4
novo;4
qualquer;4
final;4
fala;4
caso;4
kkkkkk;4
jogo;4
kkkkkkk;4
tava;4
fiquei;4
meio;4
min;4
contar;4
história;4
chega;4
gaal;4
puta;4
puto;4
hj;4
arma;4
plz;4
comer;4
primeira;4
alguém;4
disso;4
sujeira;4
ao;4
ano;4
katti;4
está;4
daora;4
acho;4
chácara;4
tinha;4
junto;4
jantar;4
filho;4
eleven;4
zé;4
verinha;4
chamyto;4
corno;4
pouco;3
sorocaba;3
acabar;3
seus;3
gostar;3
aquele;3
único;3
papo;3
dois;3
hoje;3
quinta;3
rs;3
daqui;3
amigos;3
lembra;3
nas;3
aceito;3
humilde;3
massivo;3
bunuru;3
momento;3
fui;3
estudar;3
tempo;3
bem;3
palavras;3
essas;3
loko;3
algo;3
toy;3
is;3
grande;3
oficial;3
ai?;3
vista;3
mandou;3
prof;3
jogador;3
começar;3
pela;3
miojo;3
lugar;3
isso?;3
terra;3
algum;3
tal;3
lindo;3
yakult;3
otaku;3
deu;3
cabeça;3
única;3
pegar;3
@5511954263132;3
?;3
descobre;3
nunca;3
celular;3
todos;3
ideia;3
pros;3
neh;3
🥰;3
ex;3
miley;3
vai?;3
caio;3
usar;3
linux;3
paia;3
pa;3
meme;3
comendo;3
homem;3
muito;3
grupinho;3
durante;3
tu;3
lembro;3
porque;3
dizer;3
logo;3
ok;3
menos;3
trampo;3
brinquedo;3
disse;3
