Nome;Número de Mensagens;Stickers;Imagens;Áudios
Moranço;3749;30;163;20
Palavra;Frequência
q;498
o;424
de;405
é;342
a;297
nao;264
eu;234
do;203
um;185
e;179
pra;172
no;160
da;136
na;133
tem;128
com;127
se;126
vai;106
uma;104
mas;98
ele;97
ta;94
em;93
mais;91
la;90
to;83
só;82
aqui;73
os;71
mano;67
vc;67
tbm;65
ja;64
ai;63
sei;63
vou;63
grupo;58
gente;58
ser;57
meu;57
isso;57
muito;56
pablo;53
que;52
as;48
pq;47
cara;45
por;45
acho;44
me;44
fazer;43
agora;42
minha;41
tipo;41
ter;40
dia;38
foi;38
deus;37
ver;37
nem;36
essa;36
umas;36
ela;35
vcs;34
porra;33
sao;33
nada;32
ou;32
bem;31
casa;29
ir;29
sim;29
pro;28
outro;28
bom;28
estar;28
mundo;27
entao;27
quem;27
esse;26
tudo;26
coisa;26
dos;26
até;26
mesmo;25
pode;25
foto;24
tava;24
the;23
faz;23
como;23
fude;23
ficar;23
alguem;23
das;22
dele;22
demais;22
mulher;22
sem;22
2;21
falar;21
fala;21
1;21
todo;20
carro;20
role;20
tenho;20
amigo;20
caras;19
kkkkk;19
falando;19
melhor;18
queria;18
tarde;18
tinha;18
lugar;18
aula;18
sua;18
assim;18
uns;18
hj;18
amigos;17
leo;17
pessoas;17
for;17
ainda;17
tao;17
omitted;17
3;17
mina;17
daora;17
bicho;17
dar;17
subject;16
seu;16
eleven;16
nunca;16
novo;16
top;16
kkkk;16
anos;16
te;16
essas;16
foda;16
quando;15
vem;15
menos;15
saber;15
amo;15
era;15
dai;15
:(;15
vezes;15
quero;14
nois;14
moral;14
hora;14
mim;14
meio;14
hein;14
mae;14
eles;14
né;14
cu;14
leozin;13
sou;13
hahaha;13
gostosa;13
lembro;13
chacara;13
tempo;12
15;12
suave;12
facul;12
boa;12
verdade;12
legal;12
vez;12
quer;12
bagulho;12
sobre;12
pouco;12
nome;12
amanha;12
perto;12
fodase;12
fazendo;12
para;11
+55;11
pelo;11
quiser;11
desse;11
vao;11
brabo;11
gosto;11
