Nome;Número de Mensagens;Stickers;Imagens;Áudios
Natham;3932;163;229;31
Palavra;Frequência
de;286
que;239
o;209
a;196
eu;163
pra;152
e;149
no;149
eh;147
n;137
do;135
não;132
um;120
vc;106
da;104
na;92
mina;83
tem;76
uma;74
mt;74
se;73
é;71
mano;66
vai;60
cara;59
vou;58
deus;57
em;57
ela;56
mais;56
com;53
só;51
isso;50
q;48
meu;46
👍;45
cm;41
me;41
nao;40
ser;40
tb;40
dia;39
pablo;38
tá;38
aqui;38
fazer;35
por;35
essa;34
minha;34
ir;33
os;33
tô;33
vcs;32
aí;31
quer;31
coisa;30
ele;29
ter;29
ficar;29
porra;29
nada;29
seu;28
sei;27
mas;26
foto;25
grupo;25
casa;25
ou;25
pro;24
daora;24
ta;24
as;23
falar;23
corno;23
já;22
mim;22
qnd;22
you;22
ver;21
tava;21
acho;21
assim;20
como;20
foda;19
vô;19
pq;19
bem;19
so;19
morma;18
sou;18
bom;18
foi;18
te;18
boa;17
msm;17
ia;17
dar;17
agr;17
oq;17
carai;17
choku;17
carona;17
melhor;17
i;17
hj;16
falou;16
to;16
ai;16
amigo;15
era;15
antes;15
mandar;15
pessoa;15
sabe;15
lá;15
mundo;15
pai;15
até;14
hein;14
tenho;14
queria;14
cs;14
falando;14
fui;14
vez;14
ft;14
nem;14
aula;14
muito;14
vida;14
namoral;13
jogo;13
tipo;13
família;13
for;13
tinha;13
cu;13
menos;13
umas;13
sujo;13
sua;12
p;12
jogar;12
esse;12
faz;12
comer;12
conseguir;12
médico;12
sim;11
igual;11
fora;11
pode;11
mano,;11
fodase;11
agora;11
outro;11
sem;11
uns;11
alguma;11
desse;11
festa;11
amigos;11
fudendo;11
dos;11
chegar;11
indo;11
nas;11
dá;11
curto;10
guys;10
nome;10
mta;10
quiser;10
qm;10
mesmo;10
dois;10
certeza;10
nois;10
ainda;10
homem;10
manda;10
são;10
usar;10
para;10
seila;10
pqp;10
,;10
amiga;9
mandou;9
precisa;9
posto;9
tudo;9
das;9
pegar;9
pau;9
tão;9
caras;9
gnt;9
né;9
sepa;9
dps;9
sair;9
carro;9
dnv;9
amo;9
vinhedo;9
tarde;9
vdd;9
?;9
comprar;9
mãe;9
fala;9
sla;9
fica;9
algum;9
chamar;9
mal;9
pessoas;9
11;8
fosse;8
colocar;8
1;8
todo;8
então;8
face;8
rs;8
conheço;8
gi;8
desculpa;8
ja;8
30;8
pelo;8
meus;8
odeio;8
maior;8
fdp;8
caralho;8
fico;8
vsf;8
dela;8
lembro;8
outra;8
pouco;8
falei;8
betar;8
tempo;8
quem;8
falo;8
message;8
was;8
deleted.;8
2;7
saber;7
eleven;7
meio;7
:(;7
filho;7
aquela;7
agt;7
sabia;7
100%;7
fácil;7
role;7
lado;7
8;7
td;7
@5516991147120;7
@5519999986064;7
algm;7
s;7
gado;7
passar;7
deixa;7
t;7
deixar;7
academia;7
😭;7
the;7
verinha;7
tirar;7
meses;7
intel;7
anos;6
5;6
mensagem;6
fez;6
normal;6
vezes;6
40;6
in;6
noite;6
dele;6
cê;6
suave;6
paia;6
realmente;6
perfil;6
qual;6
vista;6
vo;6
hj?;6
cabeça;6
vi;6
céu;6
puta;6
roxo;6
moscando;6
jeito;6
deu;6
certo;6
stories;6
vaga;6
fazendo;6
quase;6
dessa;6
vocês;6
grande;6
natham;6
vamo;6
ruim;6
raiva;6
and;6
can;6
ningm;6
nunca;6
bagunça;6
gata;6
corte;6
ed2;6
merda;5
disso;5
lugar;5
demais;5
tomar;5
banho;5
careca;5
cinema;5
pior;5
coisas;5
mina?;5
vem;5
conhecer;5
smp;5
sério;5
vão;5
amor;5
conversa;5
yakult;5
chama;5
pedir;5
jantar;5
espera;5
fecho;5
jajá;5
frente;5
carona?;5
elevador;5
@5516991310978;5
trocar;5
4;5
leo;5
curte;5
omitted;5
ratazana;5
logo;5
horas;5
min;5
beber;5
chernobyl;5
katti;5
doente;5
roberta;5
la;5
quero;5
áudio;5
alto;5
mulher;5
cabelo;5
@5512996320280;5
perto;5
longe;5
existe;5
good;5
ufscar;5
está;5
pediu;5
casar;5
gosta;5
ne;5
olho;5
zap;5
usa;5
mão;5
bola;5
feia;5
conhece;5
ryzen;5
seja;4
crtza;4
saiu;4
qq;4
real;4
irmão;4
ficando;4
3;4
cada;4
7;4
ok;4
treta;4
matar;4
hora;4
amn;4
menina;4
responde;4
daqui;4
coragem;4
ouvindo;4
açaí;4
pega;4
patelli;4
pensando;4
fita;4
mandei;4
atividade;4
pc;4
mudar;4
saio;4
facul;4
semana;4
aqui?;4
viu;4
comg;4
6;4
20;4
fiquei;4
nessa;4
poco;4
uber;4
eles;4
newba;4
chernobyl?;4
tanto;4
aconteceu;4
odeia;4
compra;4
leva;4
sorte;4
partir;4
tbm;4
vídeo;4
entao;4
falam;4
linux;4
forte;4
saudavel;4
carona??;4
medo;4
smartfit;4
conhecido;4
r;4
kkkkkkkkk;4
x;4
perceber;4
postar;4
sai;4
peguei;4
enquanto;4
segundo;4
😢;4
heteros;4
hospital;4
criança;4
📱;4
brincava;4
celular;4
consegue;4
historia;4
qqr;4
arthur;4
parte;4
mentira;4
história;4
gabi;4
support;4
entrar;4
pora;4
seus;4
pa;4
numero;4
velho;4
esquece;4
segunda;4
insta;4
fut;4
impossível;4
responder;4
há;4
acad;4
bonito;4
ingrid;4
brasil;4
toy;4
colar;4
simpsons;4
9;4
rebeca;3
infância;3
normalmente;3
vao;3
quebrada;3
primo;3
primos;3
whats;3
coloca;3
gostar;3
vê;3
diferente;3
feito;3
legal;3
benchmark;3
comentar;3
pênis;3
puto;3
dica;3
barba;3
nisso;3
assistir;3
lá?;3
motivo;3
vendo;3
ceis;3
causa;3
ri;3
explicar;3
adicionar;3
certa;3
enfim;3
ninguém;3
ficava;3
desconfortável;3
não?;3
haha;3
ao;3
❤;3
msm?;3
oq?;3
aberto;3
print;3
errada;3
bora;3
pela;3
loco;3
ler;3
sucesso;3
duro;3
conta;3
bloquear;3
joga;3
time;3
pronto;3
prova;3
discord;3
cima;3
criar;3
possível;3
kkkkkkkkkkkkkkk;3
tao;3
siovani;3
gay;3
bin;3
parece;3
lista;3
bebida;3
cagão;3
rolê;3
homens;3
jogos;3
vontade;3
bate;3
chokao;3
esposa;3
shopping;3
m;3
ceu;3
🥰;3
acha;3
12;3
nadaver;3
guardião;3
delícia;3
camiseta;3
matéria;3
rosa;3
esses;3
ouvir;3
trabalho;3
mercado;3
estar;3
inteira;3
site;3
cornos;3
pica;3
dessas;3
vivia;3
chega;3
bosta;3
vaso;3
inclusive;3
esqueci;3
menino;3
apenas;3
ajuda;3
momento;3
h;3
g;3
comentei;3
mama;3
pfvr;3
direito;3
delas;3
sabem;3
máximo;3
true;3
beta;3
nenhum;3
cre;3
preço;3
laranjo;3
bloquea;3
top;3
outros;3
sentir;3
👫;3
escola;3
também;3
alugando;3
conversando;3
descobri;3
sertanejo;3
chegando;3
dando;3
lógico;3
sexo;3
sendo;3
ficou;3
beijo;3
conheci;3
exatamente;3
come;3
outras;3
precisava;3
toda;3
corpo;3
ontem;3
dentro;3
parar;3
difícil;3
@5511997111223;3
casa?;3
todos;3
xips;3
my;3
don't;3
get;3
much;3
whatever;3
way;3
night;3
c;3
cego;3
olha;3
cola;3
0;3
ideia;3
gostoso;3
bando;3
posso;3
achei;3
@5516997052636;3
mato;3
aperta;3
linguiça;3
começar;3
aí?;3
45;3
assistindo;3
quilos;3
mortais;3
velha;3
chorar;3
contra;3
falta;3
vai?;3
gastam*;3
ae;3
sexta;3
zuera;3
assunto;3
@5511954263132;3
mora;3
descendo;3
shape;3
ela?;3
falaria;3
vídeos;3
meia;3
saindo;3
anão;3
rodar;3
processador;3
diferença;3
memória;3
menstruação;3
viihtube;2
preciso;2
pegou;2
beijando;2
sinal;2
moral;2
primeiro;2
🤙;2
100;2
louco;2
conto;2
dark;2
souls,;2
tiro;2
verdadeiro;2
roda;2
teclado;2
new;2
muda;2
robotica;2
incel;2
nois?;2
cheio;2
chamava;2
chamem;2
porta;2
fude;2
w;2
cmg;2
date;2
deusb;2
interessante;2
economia;2
problema;2
hentai;2
ban;2
g.r.;2
meme;2
udyr;2
maldito;2
voltar;2
prefiro;2
caio;2
confia;2
sentindo;2
caso;2
palavra;2
seila,;2
machista;2
