Nome;Número de Mensagens;Stickers;Imagens;Áudios
Pablo;5845;821;454;70
Palavra;Frequência
q;526
eu;502
o;456
de;401
é;383
nao;361
a;348
pra;251
e;243
do;207
com;177
no;177
na;164
da;151
tem;136
um;129
que;127
me;127
ele;125
mas;123
ta;120
vc;120
se;118
to;114
ela;109
em;107
isso;101
cara;95
mina;88
tava;86
tbm;85
mano;85
mais;84
ser;83
por;82
vai;81
pq;78
meu;75
os;73
ai;69
so;68
uma;67
ja;66
como;66
gnt;66
as;62
la;61
nada;59
mt;59
sei;59
vou;56
foi;54
nem;54
aqui;53
essa;53
fazer;53
esse;51
acho;51
msm;51
grupo;50
dia;49
falar;49
assim;47
ne;46
ter;46
natham;46
ver;45
foto;44
oq;43
falando;42
coisa;42
tao;42
mim;41
n;41
vcs;41
porra;40
ia;39
todo;39
minha;39
tenho;38
só;36
ainda;35
ficar;35
sou;34
casa;34
agr;34
bom;34
tinha;34
qnd;34
mundo;33
ate;33
quem;33
vo;33
face;32
👍;32
ir;31
dps;31
era;31
sem;31
alguem;30
dela;30
choku;30
sua;29
meio;29
dele;29
sempre;29
fui;28
te;28
pegar;28
leo;27
outro;26
dos;26
faz;26
olha;26
omitted;26
festa;25
sim;25
pro;25
ou;25
falei;25
nunca;25
tipo;24
deus;24
daora;24
dar;24
tudo;24
seu;24
meus;23
vdd;23
vi;23
melhor;23
nossa;23
mo;23
aula;22
pode;22
hora;22
fica;22
bem;22
lembro;22
sao;21
puta;21
umas;21
pau;21
essas;21
mto;21
gente;20
demais;20
achei;20
ontem;19
eleven;19
cu;19
entao;19
kkkkkkkkkkk;19
quase;19
hj;19
fala;19
2;19
mandar;19
1;19
quer;19
para;18
loko;18
for;18
nome;18
parece;18
real;18
fiquei;18
message;18
was;18
deleted.;18
vez;18
falou;18
3;18
amigos;18
cmg;17
legal;17
peguei;17
coisas;17
pessoa;17
fazendo;17
td;17
esperem;17
almocar;17
cm;16
eles;16
manda;16
fodase;16
queria;16
gi;16
amigo;16
fez;16
ufscar;16
conto;16
pica;16
comer;16
uns;16
dois;16
vezes;16
fiz;15
das;15
tiver;15
role;15
boca;15
mlk;15
dessa;15
ce;15
kkkkkkkk;15
mesmo;15
pior;15
sujo;15
sp;15
memo;15
igual;15
nesse;14
quero;14
boa;14
saber;14
jeito;14
errado;14
menos;14
vontade;14
verinha;14
pa;14
tempo;13
vamo;13
viu;13
5;13
disse;13
otario;13
duas;13
vida;13
pessoas;13
deu;13
onde;12
acha;12
sabe;12
pastor;12
juro;12
horas;12
pelo;12
bonito;12
sla;12
gosta;12
fuder;12
storie;12
top;12
pensando;12
ruim;12
