Nome;Número de Mensagens;Stickers;Imagens;Áudios
Pastor;1080;40;87;1
Palavra;Frequência
?;116
o;103
de;86
a;83
q;68
é;63
pra;61
não;60
e;56
vc;54
do;46
eu;43
que;40
vai;39
com;38
em;38
tem;38
um;38
no;37
nao;37
tá;33
kkkkkkk;33
ele;33
se;32
mano;30
na;30
aqui;26
aí;25
só;24
aula;23
da;23
mas;23
kkkkkk;22
uma;22
me;21
isso;20
mais;20
:(;19
vou;19
dia;18
boa;17
;);17
dar;17
os;17
sim;17
por;17
ver;16
já;16
fazer;15
haha;15
sei;15
so;15
@5515981646757;14
,;14
tava;14
faz;14
vcs;14
kkkkkkkk;14
@5511954263132;13
2;13
ta;12
msm;12
as;12
nem;12
pode;12
gente;12
ela;12
ainda;11
ir;11
bom;11
como;11
acho;10
mandar;10
tenho;10
tô;10
ou;10
ser;10
grupo;10
kkkkkkkkk;9
for;9
seu;9
trouxa;9
hj;9
ficar;9
@5516997121580;9
ia;9
pq;9
quer;9
são;8
to;8
foi;8
muito;8
mano,;8
ufscar;8
agr;8
uns;8
???;8
@5516997052636;8
la;8
essa;8
tdo;8
pablo;8
foda;8
omitted;7
logo;7
nunca;7
3;7
qm;7
melhor;7
tbm;7
sp;7
esse;7
ate;7
atividade;7
👍🏽;7
o.o;6
meu;6
menos;6
kkkkk;6
??;6
semana;6
depois;6
quiser;6
prova;6
pelo;6
1;6
tempo;6
chegar;6
casa;6
dele;6
10;6
jogar;6
lucas;6
amigos;6
coisa;5
assim;5
levar;5
essas;5
fácil;5
passado;5
pegar;5
:d;5
-;5
tão;5
pessoal;5
qro;5
até;5
era;5
tinha;5
@5519982733551;5
vezes;5
document;5
sua;5
4;5
antes;5
tudo;5
aonde;5
msg;5
espera;5
noite;5
falar;5
fiz;5
fez;5
mando;5
sem;5
comer;5
bola;5
corno;5
nd;5
amigo;4
final;4
bem;4
lá;4
conversar;4
foto;4
das;4
participar;4
dessa;4
vamos;4
dias;4
:((;4
@5516991147120;4
precisa;4
conta;4
hahaha;4
kkkkkkkkkk;4
carona;4
estão;4
baguo;4
chama;4
daora;4
lembro;4
caras;4
trabalhar;4
então;4
deixa;4
neh;4
pablo,;4
cada;4
gosta;4
qndo;4
vlw;4
slide;4
saber;4
dos;4
cornos;4
????;4
man;4
pouco;4
mlk;4
email;4
sao;4
vem;4
sabe;4
avisa;4
ja;3
caraio;3
lá,;3
demais;3
cirrose;3
mds;3
ban;3
natham;3
algum;3
coloca;3
para;3
certeza;3
gostar;3
:/;3
ano;3
porra;3
olha;3
meio;3
✌✌;3
face;3
carro;3
mina;3
vez;3
5;3
reais;3
sério;3
preciso;3
consegue;3
18h;3
pensando;3
contar;3
engano;3
frente;3
recusar;3
•;3
deu;3
umas;3
passar;3
tiver;3
passou;3
sair;3
queria;3
fui;3
real;3
ajudar;3
obrigado;3
mundo;3
vendo;3
hrs;3
começou;3
às;3
pega;3
9;3
parte;3
esqueci;3
entregar;3
minha;3
calor;3
semestre;3
tendi;3
fazendo;3
sentido;3
alguem;3
dividir;3
ler;3
tirar;3
siim;3
passo;3
mandou;3
sac;3
pediu;3
fosse;3
robótica,;3
amanha;3
feliz;3
nome;3
🤭;3
outra;3
primeiro;3
puto;3
e-mail;3
manda;3
bd;3
chave;3
vaga;3
materia;3
sara;3
bebida;3
extensão;3
parem;2
trabalho;2
chegou;2
ditador;2
querer;2
80;2
morrer;2
cuidado;2
pau;2
tbm,;2
tiro;2
sério,;2
sei,;2
reclama;2
lixo;2
@5519996851067;2
vim;2
@5511996234597;2
tirou;2
geral;2
isso,;2
chegando;2
neh,;2
marcar;2
copa;2
tentar;2
bebidas;2
não.;2
aquele;2
100;2
embora;2
ok;2
new;2
number.;2
message;2
contato;2
velho;2
cirrose*;2
maioria;2
outro;2
media;2
então,;2
hehe;2
vale;2
8;2
chamar;2
pages;2
esses;2
ajuda;2
todas;2
+;2
apresentar;2
parado;2
ônibus;2
greve;2
yellow;2
👍;2
ajudo;2
nd.;2
mim;2
pergunta;2
😘;2
resposta;2
bruno;2
parece;2
tipo;2
oque;2
esperando;2
ao;2
banheiro;2
papel;2
roxo;2
começa;2
*;2
complicado;2
choku;2
deixo;2
@5512996320280;2
trab;2
17;2
18;2
tento;2
escuta;2
legal,;2
menina;2
lec;2
legal;2
comprar;2
breja;2
estudar;2
curso;2
daora,;2
certo.;2
comeu;2
merda;2
chega;2
namorada;2
acabou;2
vao;2
❤;2
veio;2
vida;2
fude;2
conteúdo;2
lso;2
ae,;2
role;2
dela;2
carlos;2
normal;2
?????;2
graça;2
😡😡😡;2
😡😡;2
virar;2
sou;2
gay;2
publicou;2
classroom;2
pf;2
share;2
sim,;2
fora;2
alguém;2
vamo;2
yakult;2
marmita;2
preço;2
strogonoff;2
pedi;2
medo;2
fake;2
postou;2
corinthians;2
alguns;2
aquelas;2
atenção;2
certificado;2
sobre;2
zaina;2
seus;2
falam;2
sabem;2
falta;2
volto;2
ter;2
mal;2
indo;2
trocar;2
caiu;2
notas;2
colar;2
matlab;2
achar;2
arroz;2
><;2
ex;2
conga;2
17h;2
tomar;2
banho;2
posso;2
cheguei;2
kkkkkkkkkkk;2
pior;2
hr;2
lixos;2
mario;2
créditos;2
optativas,;2
tira;2
caso;2
desse;2
vão;2
cantando;2
última;2
zuera;2
pensar;2
atrasado;2
sujo;2
tarde;2
gustavo;2
acordar;2
lars;2
qntos;1
grama;1
preciso,;1
mamando;1
pa,;1
espero;1
aula*;1
chato;1
zuando;1
cosi;1
dormindo;1
louko;1
regras;1
pica;1
folgado,;1
eai;1
nele;1
hora;1
acorda*;1
green;1
gostei;1
adm;1
implementar;1
igual;1
cagado;1
discutindo;1
será;1
existe;1
anão;1
maior;1
20cm;1
@5515997471294;1
ae;1
letícia;1
noção;1
fuzil;1
grupo.;1
coisas,;1
nessa;1
história;1
caso,;1
converso;1
pessoalmente.;1
briga;1
atoa;1
ninguem;1
acontecesse;1
nos;1
acabando;1
8h30;1
mals;1
chorar;1
ganhando;1
this;1
group's;1
icon;1
curti,;1
darkroom;1
diretoria;1
estranho;1
entender,;1
enfimw;1
unesp;1
voltou;1
almoçando;1
bolacha,;1
bus;1
aquela;1
encontrou;1
primeiras;1
receita;1
2.0;1
????*;1
seila;1
compramos;1
compra;1
salgadinhos;1
festa;1
primo;1
quais;1
melhores;1
amanhã;1
tarde.;1
aí,;1
trabalhando;1
gaal;1
tem?;1
suas;1
aulas;1
their;1
phone;1
number;1
tap;1
or;1
add;1
the;1
adicionam;1
número;1
monte;1
x;1
ligando;1
atender;1
ligações;1
vais;1
*copa;1
16/09;1
escolher;1
tdos;1
@5519993807942;1
@5516991310978;1
tdos.;1
exceto;1
quinta;1
16;1
@5511982133308;1
@5516992876061;1
completo;1
depois,;1
ad;1
depende;1
pontos;1
desculpa;1
tá.;1
realmente;1
obrigatório;1
listas,;1
lista,;1
senão;1
escolha;1
dessas;1
atividades;1
louca;1
faca;1
seguida;1
consegui;1
fazer.;1
noite,;1
preso;1
sd;1
vc,;1
lista1.pdf;1
lista2.pdf;1
docs;1
certeza,;1
respostas,;1
p1+p2/2;1
8*(p1+p2/2);1
2*lista;1
msm.;1
entender;1
informal;1
chamado;1
contas;1
doida;1
seguidas;1
relaxa;1
forma;1
mofado;1
congelar;1
guilherme,;1
ed;1
demorar;1
fabio;1
andando;1
corno.;1
km?;1
atrasado,;1
perde;1
oportunidade;1
confia;1
bike;1
putas;1
aqui,;1
puteiro;1
bosta,;1
enfim;1
sorte;1
vacilão;1
desempregado;1
obg;1
entrevista;1
entra;1
:(((;1
finalzinho;1
web(só),;1
vem,;1
robotica;1
classroom,;1
7;1
visita;1
toyota;1
ignorante;1
cama;1
pela;1
jeito,;1
discrimina;1
ambiente;1
prédio;1
startup;1
gerar;1
cupom;1
javascript;1
praticamente;1
representação;1
somar;1
concatena,;1
111;1
horrivel;1
hahah;1
alvo;1
moro;1
perto;1
metro;1
:;1
renan;1
foda,;1
higiênico;1
foda.;1
encontrei;1
último;1
pato;1
sujeira;1
morma;1
sabado;1
19h30*;1
leo;1
avida;1
jaja;1
deixou;1
deixam;1
gata;1
sozinha;1
denunciar;1
namoram;1
:9;1
vontade;1
manha,;1
yakult,;1
felicidades;1
🤙🤙🤙🤙;1
maltratar;1
@5511971696565;1
dnv;1
zap;1
prima;1
coca;1
logica;1
lógico;1
incomodo;1
disponivel;1
class;1
acabar;1
nosso;1
ser,;1
animal;1
ligo,;1
toma;1
pdf;1
??*;1
rabo;1
banco;1
avisei,;1
falo;1
isso.;1
acha;1
namoro;1
bloqueado;1
cima?;1
correr;1
falso;1
aceito;1
tamo;1
msm,;1
sai;1
sorocaba;1
29;1
graus;1
20;1
ter,;1
usar;1
redes,;1
questoes.;1
algumas;1
assistir;1
entao,;1
oratoria;1
tabela;1
correlação;1
dela.;1
valores;1
pulicia;1
direito;1
brincadeira;1
katti,;1
pede;1
amanha.;1
cássio;1
distraído;1
melhorando;1
dívida;1
falou;1
mam;1
mãe;1
alguma;1
importante;1
linha;1
matemática;1
crocs;1
casa,;1
@5515981246169;1
jus;1
futsal;1
arthur,;1
perdeu;1
7-8;1
aba;1
logico;1
completar;1
atrapalhando;1
@5519999986064;1
aprender;1
direto;1
trampo;1
merda,;1
comer.;1
mal.;1
universitário;1
raiz;1
passa;1
novinha;1
);1
ook;1
duvido;1
pensado,;1
verdade;1
p2;1
edo;1
derivada;1
parciais;1
seria;1
reclama.;1
prova,;1
ilegal.;1
arquivo;1
atrás;1
broder;1
ru*;1
assistindo;1
anime;1
saindo,;1
morango,;1
fome;1
esperar;1
conhece;1
ninguém;1
ronald;1
namora;1
dão;1
cima;1
rei;1
dupla;1
entregas;1
bloquear;1
cachorro;1
lasanha;1
sistema;1
saldo;1
grosso;1
deve;1
conhecer;1
cafe;1
@5511973104437;1
meiao;1
short;1
preto;1
pensei;1
soro,;1
deixei;1
arranjar,;1
humilde;1
22h;1
beijos;1
homem;1
gay?;1
amigo,;1
grande;1
chamou;1
gi;1
raspa;1
canela;1
cumpre;1
prazo,;1
cobrar;1
11/10;1
recurso;1
perder;1
prazo;1
11;1
dar.;1
consigo;1
estudando;1
ganhou;1
@5511997111223;1
@rizzi;1
pgilha;1
oputsa;1
->;1
viram,;1
katti;1
negocio;1
pena;1
aconteceu;1
35;1
valor;1
exato;1
facens;1
boquinha;1
link;1
molho;1
apoiam;1
tailandês;1
matar;1
desiste;1
espaco,;1
quero;1
básico;1
basico.;1
vi;1
30;1
slides;1
depois,mas;1
è;1
quase;1
terminal;1
carregar;1
solução,;1
preguiçosos;1
tivesse;1
bolha....;1
questão;1
dependência;1
carregando;1
problema,;1
eles,;1
precisando;1
daqui;1
muitos;1
compromissos;1
pqp;1
10conto;1
min?;1
faltando;1
chacara*;1
coloquei;1
obrigadp;1
praticar;1
esporte;1
adota;1
tiemi;1
xingou.;1
entao;1
vagabundo;1
paw;1
buga,;1
peguei;1
graça,;1
0reais;1
grande,;1
0;1
fiquei;1
normal,;1
666;1
pau*;1
mandar,;1
pessoa;1
achando;1
jogadores;1
inter;1
expulso,;1
fica;1
facil;1
flamengo;1
jogo;1
zuando,;1
paulo;1
deixar;1
daniel;1
alves;1
ruim;1
ponte;1
pretano;1
lixo,;1
mesmo;1
saiu;1
fortaleza;1
cruzeiro;1
elenco;1
morto;1
virando;1
campeonato;1
europeu;1
3-4;1
time;1
monopólio;1
fala;1
meninas;1
merecem;1
falasse;1
ajudou;1
atuação;1
ontem;1
bateria;1
roberto;1
carlos,;1
puta;1
bunda;1
coxas;1
😋;1
fizeram;1
guilherme;1
receberam;1
ruby;1
extensão,;1
aumentar;1
data;1
confirmação;1
sugestão;1
amanhã.;1
ligado;1
recebe;1
emails;1
bozo;1
news;1
eleitores;1
sabia.;1
errado;1
pública;1
fakes;1
alunos;1
ônibus.;1
fundo;1
vazio;1
evolução,;1
feijão;1
vender;1
rim;1
ali;1
labredes;1
cel;1
sim.;1
difícil;1
prof;1
bcc;1
aderir;1
cortes;1
educação;1
(não;1
certeza);1
motivo,;1
sempre;1
08;1
máquina;1
colocar;1
lavar;1
robô;1
decolar;1
lab;1
yeda;1
luquinhas;1
cola;1
cp;1
tao;1
mc;1
todo;1
site;1
milagre;1
chamando;1
😏;1
querendo;1
chácara;1
roles;1
aleatórios;1
dinheiro;1
corno,;1
popó;1
dedão;1
junto;1
curiosidade;1
net;1
cp,;1
socorre;1
leozin;1
contado;1
bastos;1
favor;1
senhor;1
jesus;1
resolveu.;1
gritar;1
gol;1
1x1;1
robotica,;1
acham;1
cair;1
codar;1
próprio;1
baixar;1
free;1
útil;1
lugar;1
achei;1
video;1
fifa;1
kuka;1
dizer;1
diferença;1
soldas;1
ajudasse;1
perguntando;1
cândida;1
tentando;1
aumenta;1
porção;1
comida;1
frutas;1
feijão(quase;1
sempre);1
salada;1
água;1
vinagre;1
mole;1
demora;1
panela;1
pressão;1
was;1
deleted.;1
lembra;1
p1;1
teve;1
talvez;1
comendo;1
amo;1
❤❤;1
moraemrep;1
rep;1
anda;1
criticou;1
podem;1
fotos;1
"aula";1
ignoram;1
enchendo;1
pistola;1
ficam;1
cutucando;1
demorando;1
errada;1
resolver;1
p1-;1
2014?bd;1
passada;1
parecido;1
primaria;1
super;1
minima;1
definição;1
cagado,;1
organizar;1
certinho;1
momento;1
certa;1
pntos;1
insere;1
r;1
{4};1
presentinho;1
escutei;1
volta;1
julho;1
vergonha;1
fodasse;1
sahudy;1
mapea;1
grupo(cód,nome);1
entidade;1
fraca;1
ficaria;1
primária;1
parcial;1
mano.;1
9h;1
mijao;1
muita;1
coosa;1
liberou;1
cedo;1
quiser,;1
sujo??;1
gostoso;1
molhadinho;1
nesse;1
paralela]*;1
19,;1
24/12;1
so.;1
018;1
ainda.;1
abstração;1
síncrona;1
vcs,;1
lendo;1
tanto;1
lugares;1
quebrada;1
almoçar;1
perguntei;1
mentir;1
fut;1
redes;1
caraio,;1
curte;1
meus;1
dcomp;1
importa;1
fudeu;1
"ganhei";1
6;1
grafos;1
web;1
56;1
optativas;1
(1ou2);1
48/8;1
joga;1
conseguir;1
souber;1
cu;1
cubana;1
safada;1
cagando;1
caga;1
celular;1
exemplo;1
professor;1
esconde;1
pinto;1
rosto;1
mina,;1
comia;1
facilww;1
extensao;1
carona?????;1
perdida;1
fez?;1
optativa;1
robótica;1
terminar;1
próxima;1
acompanha;1
dar,;1
joguei;1
cagar;1
algo;1
natural;1
limpar;1
mac;1
:);1
presença;1
merece;1
perdão;1
parabéns;1
acabei;1
não,;1
embaixo;1
compartilha;1
cinema;1
aleatório*;1
desconvida;1
chácara,;1
please;1
escutando;1
pitty;1
show;1
vivo.;1
cpm22;1
chorando;1
bola,;1
tnc;1
compartilhar;1
doc;1
vista;1
anos;1
segredos;1
carnoia;1
mora;1
igor;1
paguei.;1
consegurir;1
pagar;1
amanhau;1
bugado;1
siga;1
boca;1
,neh;1
assim,;1
coisas;1
agrado;1
troca;1
pfv;1
10m;1
sabia;1
bicho,;1
carne;1
assar;1
ficção;1
criança;1
"onde;1
está;1
segunda?";1
recomendar;1
filme;1
gado;1
mormaço;1
poder;1
faço;1
mínima;1
cadê;1
responde,;1
banir;1
outros;1
serve;1
avisa,;1
ocupado;1
barato;1
*como;1
leva;1
vodkas,;1
corote....;1
bebe;1
mulher;1
😭😭;1
desistiu.;1
acordei;1
espírito;1
falando;1
lavado;1
acorda;1
interior;1
bois,;1
vez,;1
cara;1
fluindo;1
bem,;1
cortar;1
perdi;1
foco;1
real,;1
gostar,;1
disfarça;1
murchar;1
página;1
"qndo;1
feijão";1
chuvas;1
rapidas;1
rachar;1
chupo;1
direita;1
esqueda;1
joão;1
chutar,;1
aula???;1
besteira;1
quis;1
veneno;1
diferenciado;1
gastou;1
nossa;1
grana;1
tda;1
chacara;1
ficou;1
gadar;1
dependendo;1
aluno;1
considera;1
faltas;1
menino;1
dormir;1
xingar;1
2019;1
page;1
16h;1
joao;1
facul;1
??????;1
onde;1
reprovar;1
futbol;1
peixe;1
"eunice;1
?";1
