Nome;Número de Mensagens;Stickers;Imagens;Áudios
Shinki;127;2;8;0
Palavra;Frequência
o;10
eh;9
que;8
a;8
no;5
não;5
:');4
ta;3
ss;3
pra;3
jogar;3
me;3
de;3
mt;3
hein;3
e;3
tem;3
tá;3
puto;2
com;2
uma;2
da;2
copa;2
mas;2
fazer;2
na;2
por;2
mim;2
do;2
ai;2
mano;2
vai;2
menos;2
sim;2
clip;2
sei;2
aqui;2
arte;2
nego;2
lixo;2
jogo;2
conto;1
tu;1
n;1
full;1
build;1
30;1
kill?;1
arranja;1
conta;1
acho;1
tenho;1
plat;1
1;1
drone?;1
🙈;1
levar;1
pc;1
secot;1
prata;1
ainda?;1
sua;1
colaboração,;1
guilherme;1
disso;1
passar;1
fome;1
coffee;1
break;1
dia;1
hauwhhaha;1
hauwhhahaha;1
fudendo;1
pensando;1
em;1
to;1
alterado;1
lol;1
ensina;1
udyr;1
cirrose?;1
cirrose;1
2.0*;1
curti;1
podem;1
semana;1
sss,;1
boas;1
😂;1
indo;1
dormir;1
:c;1
virou;1
propriedade;1
bixo?;1
lynsi?;1
😢;1
@5516997121580;1
@5516997052636;1
@5511971696565;1
mc;1
horas????;1
sair;1
nota;1
🙃;1
nn;1
c;1
d;1
fazem;1
sentido;1
tbm;1
esse;1
nathanos;1
preto;1
vei;1
doentil,;1
maluco;1
l;1
memo;1
morre;1
depois;1
uauahhahe;1
@5519982733551?;1
contaram;1
você;1
voltar;1
toreto,;1
procede?;1
coloca;1
geladeira;1
plz;1
nada;1
jauahhahsha;1
eu;1
coloco;1
comida;1
micro;1
ondas;1
clash?;1
vi??;1
achei;1
ainda,;1
tarde;1
15,;1
toy;1
pen;1
*;1
sustenta;1
chama;1
pora;1
ctz;1
td;1
mais;1
ou;1
desse;1
ano;1
fez;1
sentido,;1
lá;1
deu;1
msm;1
hype;1
dos;1
outros;1
anos;1
troll;1
sempre;1
hora;1
parece;1
só;1
3;1
quem;1
outro;1
um;1
sinal?;1
haiajhaha;1
ignite;1
último;1
warriors;1
é;1
bom;1
tb;1
ele;1
bem;1
animado,;1
sem;1
dúvida;1
lembra;1
privado;1
plzzz;1
jogaram;1
ganho;1
forçar;1
baron;1
elder;1
aí,;1
dar;1
bom";1
consegue;1
tirar;1
s;1
né;1
*memo*???;1
céu,;1
difícil;1
dois;1
passiva;1
virar;1
6x4;1
vendo;1
se;1
rola;1
ir;1
