Nome;Número de Mensagens;Stickers;Imagens;Áudios
Toy;2290;95;138;4
Palavra;Frequência
não;140
que;140
o;134
de;129
eu;92
a;84
no;82
pra;79
é;79
do;72
na;57
to;52
da;46
tem;45
com;44
vou;43
um;42
e;42
vai;41
mano;39
em;38
vc;37
uma;35
tá;34
se;29
aí;28
só;25
meu;25
lá;23
muito;22
já;21
foto;20
ser;20
tenho;20
isso;20
essa;19
aqui;19
deus;19
ele;18
cara;18
cu;18
me;17
seu;17
fazer;17
sei;17
ir;17
mais;16
te;15
nada;15
tava;15
minha;14
dar;14
agora;14
hoje;14
ta;14
tb;13
as;13
ver;13
mim;13
casa;13
pro;13
os;13
ela;13
pablo;13
eleven;13
moral;12
faz;12
gente;12
eles;12
nem;12
por;11
aula;11
ter;11
sim;11
mesmo;11
como;11
mc;11
sou;10
pode;10
tomar;10
choku;10
vcs;10
quer;10
dinheiro;10
grupo;9
sujeira;9
coisa;9
falar;9
boa;9
pau;9
era;9
sem;9
la;9
tempo;9
posso;9
vem;9
pq;9
ficar;8
favor;8
pariu;8
tudo;8
foi;8
arthur;8
bem;7
ou;7
dos;7
corno;7
comigo;7
bom;7
natham;7
depois;7
comer;7
acho;7
ia;7
vão;7
uns;7
reais;7
hein;7
mas;7
dessa;7
puta;7
queria;7
deu;7
omitted;7
dia;7
esperando;7
tinha;7
prova;7
the;7
consigo;7
ai;7
essas;6
mandar;6
quando;6
falei;6
são;6
até;6
toma;6
estar;6
esse;6
comprar;6
ouvindo;6
horas;6
semana;6
merda;6
for;6
achei;6
pelo;6
matuto;5
ainda;5
quero;5
mina;5
😔;5
carro;5
para;5
pronto;5
vi;5
paguei;5
ideia;5
compra;5
2;5
quem;5
faço;5
acontecendo;5
subject;5
show;5
caralho;5
almoçar;5
foda;4
ontem;4
falando;4
estudar;4
áudio;4
tirar;4
conta;4
vista;4
galera;4
curto;4
assim;4
praça;4
erro;4
baixo;4
voltar;4
volta;4
tarde;4
dahora;4
muita;4
fica;4
tão;4
indo;4
isso?;4
fala;4
todo;4
amigos;4
vez;4
fazendo;4
jeito;4
mano,;4
puto;4
rs;4
extensão;4
levantar;4
fude;4
mensagem;4
sepa;4
chegar;4
passar;4
falou;4
meus;4
novo;4
ja;4
posto;4
chamar;4
fila;4
desses;4
verdade;4
fez;4
demais;4
pedir;4
mesmo?;4
precisa;4
😍;4
chão;4
larissa;4
certo;4
ruim;4
imagem;4
algum;4
tal;4
mãe;4
amanhã;4
saber;4
preço;4
rock;4
in;4
rio;4
net;4
placa;4
helloween;4
ingresso;4
sabendo;4
pensando;4
pergunta;3
alguma;3
mormaço;3
adm;3
ao;3
outro;3
vezes;3
fui;3
@5519999986064;3
celular;3
parte;3
tanko;3
rachando;3
carona;3
pegar;3
fodase;3
dele;3
meio;3
mesma;3
sua;3
sumido;3
sorvete;3
momento;3
nao;3
ponto;3
-;3
newbas;3
elite;3
bruno;3
0;3
estou;3
gostoso;3
vergonha;3
homem;3
d;3
chave;3
pena;3
cachorro;3
abre;3
nesse;3
cagado;3
facul;3
entra;3
todos;3
zoando;3
pai;3
andar;3
araraquara;3
close;3
friends;3
quiser;3
onde;3
site;3
leva;3
dou;3
gado;3
👍;3
cagando;3
bosta;3
so;3
guys;3
vanderlei;3
pastor;3
gostaria;3
pouco;3
sara;3
garanto;3
likes;3
cagar;3
dá;3
num;3
cosi;3
surprise;3
parece;3
mulher;3
primeiro;3
pura;3
outra;3
segunda;3
vendo;3
sorocaba?;3
fudendo;3
visto;3
amigo;3
facebook;3
cabelo;3
link;3
médico;3
aprender;3
dur;3
saindo;3
minutos;3
pegou;3
iron;3
perdi;3
menos;3
cupom;3
paga;3
crime;3
entregar;3
semanas;3
delicia;3
patelli;3
fdp;3
suave;3
responder;3
nessa;3
mandando;3
figurinha;3
nami;3
leo;3
preciso;3
3;3
desconto;3
caraio;3
lol?;3
skin;3
ganho;3
pyke;3
fiz;2
apostila;2
sobre;2
pede;2
daqui;2
ae;2
vontade;2
noite;2
intervalo;2
já?;2
duas;2
fi;2
cof;2
final;2
perfeito;2
bus;2
message;2
was;2
deleted.;2
plano;2
aí,;2
roubar;2
rsrsrs;2
dela;2
coisas;2
treta;2
nos;2
teve;2
cinema;2
date;2
safe;2
seria;2
bebida;2
beber;2
numa;2
almoço;2
12;2
xips;2
tipo,;2
dedão;2
palestra;2
putaria;2
mundo;2
foram;2
fico;2
amo;2
fiquei;2
anão;2
léo;2
lado;2
verinha;2
@5512996320280;2
cookie;2
fábio;2
rolar;2
dream;2
passou;2
sabia;2
igual;2
raio;2
cabeça;2
cheddar;2
janta;2
infinita;2
começar;2
definição;2
saco;2
senhora;2
filho;2
usar;2
:(;2
20;2
peguei;2
começo;2
obrigado;2
enfia;2
troca;2
guichê;2
pega;2
trocar;2
ônibus;2
dias;2
serio?;2
funciona;2
li;2
entendi;2
também;2
:/;2
frente;2
fogo;2
face;2
sonho;2
oh;2
vê;2
exame;2
cartão;2
né?;2
ezequiel;2
carona?;2
entre;2
lindo;2
hora;2
dessas;2
marcou;2
história;2
mal;2
print;2
e-mail;2
peito;2
amizade;2
fecho;2
aquele;2
sair;2
manja;2
rp;2
carta;2
preso;2
taiuva;2
tira;2
importante;2
sentido;2
vir;2
certeza;2
tipo;2
multa;2
terça;2
sorocaba;2
mandaram;2
chamou;2
vincança”;2
“tomorrowpobre3:;2
der;2
negocio;2
voz;2
ne;2
vc?;2
abrir;2
lista;2
favor?;2
ficou;2
docs;2
redes;2
fácil;2
sempre;2
men;2
céu;2
fazem;2
falam;2
inclusive;2
gosto;2
marca;2
exercício;2
banheiro;2
sao;2
sahudy;2
moro;2
atenção;2
astral;2
rato;2
né;2
7;2
nisso;2
cheguei;2
sobra;2
ouvir;2
pica;2
real?;2
olha;2
embora;2
entrar;2
zeus;2
pqp;2
aquela;2
cornos;2
xd;2
pegam;2
dão;2
pagar;2
