Nome;Número de Mensagens;Stickers;Imagens;Áudios
Verinha;4494;272;226;16
Palavra;Frequência
q;486
de;439
o;381
a;279
é;275
do;231
eu;222
n;185
cara;181
com;177
pra;177
e;175
da;175
no;155
tem;148
mano;145
na;134
uma;123
os;120
um;119
mt;118
vc;109
ela;109
ele;103
mina;98
isso;90
se;83
em;81
mais;80
tava;75
vai;74
até;72
tá;71
me;70
mas;68
só;68
era;65
ser;62
foi;60
dia;58
tb;58
eh;58
deus;54
as;54
por;53
tu;52
meu;50
tinha;48
nem;47
so;46
ainda;45
já;45
não;45
la;44
primo;41
kkkkk;41
jogo;41
faz;40
ta;40
ver;38
2;38
ter;37
hj;36
pq;36
como;34
assim;34
fazer;33
:;33
3;32
dele;32
essa;32
bom;32
hora;32
pro;31
sei;30
seu;29
fica;29
kkkk;29
vou;28
fds;28
mo;28
esse;27
shape;27
fui;27
aí;27
agr;26
mesmo;26
sem;25
bem;25
minha;25
tipo;25
tô;24
tenho;24
parece;24
eles;24
lol;24
falando;24
pau;23
kkkkkk;23
pablo;23
fala;23
daora;23
gente;22
dos;22
ir;22
ne;22
dps;22
dmais;22
acho;21
coisa;21
ja;21
nada;21
falar;21
que;21
ate;20
anos;20
nunca;20
te;20
ia;20
tudo;19
dela;19
tempo;19
jogando;19
vi;18
message;18
was;18
deleted.;18
primos;18
gado;18
ai;18
sou;18
1;18
merda;18
paia;18
dias;17
cu;17
vez;17
vem;17
ficar;17
pelo;17
casa;17
contra;17
lixo;16
vo;16
ou;16
vida;16
sempre;16
quer;16
@5519993807942;16
meio;16
uns;16
algo;16
deve;15
sua;15
queria;15
deu;15
falou;15
umas;15
parada;15
fico;15
sim;15
zika;15
time;15
nego;14
dando;14
to;14
natham;14
foda;14
rolê;14
porra;14
das;14
outro;14
fazendo;14
jogar;14
são;14
cada;14
top;14
live;14
ao;13
aula;13
final;13
boa;13
fez;13
leozin;13
amigo;13
10;13
quando;13
kkkkkkk;13
tão;13
full;13
falei;13
aquela;13
menos;13
para;13
igual;12
acad;12
puta;12
dar;12
enactus;12
comer;12
4;12
lembro;12
horas;12
aqui;12
for;12
macinha;12
skin;12
real;11
qm;11
mundo;11
vontade;11
algm;11
pode;11
aquele;11
sabia;11
mim;11
estar;11
yakult;11
nome;11
kkk;11
melhor;11
pika;11
parte;11
pior;11
grupo;10
fiquei;10
