Nome;Número de Mensagens;Stickers;Imagens;Áudios
Bruno;28;3;0;0
Palavra;Frequência
e;4
a;4
que;3
de;3
na;3
o;3
é;3
me;2
do;2
muito;2
falou;2
em;2
não;2
dizer;1
acabaram;1
ligar;1
da;1
tapps;1
games;1
(onde;1
eu;1
fiz;1
entrevista;1
segunda);1
eles;1
passaram;1
proposta;1
salário;1
vão;1
mandar;1
papelada;1
contrato;1
geliz;1
uga;1
primos;1
escritório;1
deles;1
pica;1
moral;1
gente!!;1
vcs;1
tiveram;1
fazer;1
cartão;1
pis?;1
sei;1
tbm;1
kkkkkk;1
isso:;1
http://www.caixa.gov.br/cadastros/cartao-cidadao/paginas/default.aspx;1
vc;1
já;1
com;1
yeda;1
sobre;1
falta;1
labredes?;1
isso;1
se;1
ela;1
der;1
exercício;1
aula,;1
né?;1
@5516991310978;1
@5515981646757;1
foram;1
chamados;1
pra;1
estágio?;1
nibba?;1
fui;1
vai,;1
morango;1
empresa?;1
folga;1
ia;1
chegar;1
la;1
frente;1
falar:;1
vai;1
dar;1
sorocaba;1
deve;1
ser;1
uns;1
1500;1
sp;1
média;1
essa;1
pablo;1
