Nome;Número de Mensagens;Stickers;Imagens;Áudios
Drauzio;94;0;1;1
Palavra;Frequência
de;23
que;18
eu;13
para;13
um;9
em;8
levar;8
e;7
a;7
é;7
nao;6
só;5
o;5
da;5
vcs;5
uma;4
coisa;4
mais;4
ser;4
acho;4
pra;4
ambev;4
foi;4
se;3
casa;3
tem;3
ate;3
vai;3
vou;3
?;3
ja;3
ta;3
sorocaba;3
eles;3
querem;3
com;3
jeito;3
mim;3
achar;3
essas;2
ter;2
mesma;2
pais;2
mesmo;2
ano;2
como;2
gente;2
no;2
eleven;2
sou;2
alguma;2
não;2
brisa;2
mas;2
ela;2
minha;2
preciso;2
(;2
empresa;2
do;2
5;2
específico;2
tudo;2
semana;2
falar;2
sei;2
vc;2
meu;2
as;2
isso;2
comprar;2
aqui;2
aba;1
recomendação;1
aqui,;1
quiserem;1
avisa];1
perguntas;1
dava;1
migué;1
passado;1
dificil;1
batalhei;1
entrar;1
na;1
faculdade;1
sempre;1
sonhei;1
backgroud;1
personagem;1
rpg;1
faço;1
:;1
xbox,;1
wii,;1
note;1
entrevista;1
falei;1
meus;1
estavam;1
dívida;1
10;1
k;1
fui;1
floripa;1
viagem;1
formatura;1
os;1
caras;1
ficaram;1
me;1
alugando;1
querendo;1
saber;1
fiz;1
interessados;1
exagera;1
precisa;1
mentir;1
seus;1
brigaram;1
3;1
vezes;1
*;1
paia;1
vira;1
escravo;1
codar;1
talo;1
nenhum;1
vivo;1
ajudar;1
super;1
apertados;1
uuuultimo;1
caso;1
legal;1
quem;1
soro;1
nunca;1
vaga;1
era;1
8;1
kk?;1
iria;1
também;1
sinal;1
depois;1
atrás;1
disso;1
mundial;1
guys;1
falo;1
simplificar;1
tenha;1
dona;1
abinbev;1
real;1
tanta;1
diferença;1
marketing;1
logística;1
quase;1
links;1
diferentes;1
também.;1
postaram;1
youtube?;1
visualizada?;1
mandei;1
e-mail;1
falou;1
q;1
nota;1
der;1
prejudicada;1
tomar;1
cuidado;1
:(;1
passada;1
parece;1
deu;1
en;1
deram;1
free;1
pass;1
hbsis;1
comprada;1
pela;1
ambev);1
precisando;1
dev;1
recomende;1
alguém;1
lado;1
shopping;1
iguatemi;1
seria;1
tranquilo;1
minutos;1
carro;1
pegar;1
informações;1
passo;1
tiverem;1
currículo;1
pronto;1
amostra;1
ai;1
estão;1
procurando;1
algo;1
full;1
stack;1
expandir;1
então;1
vao;1
precisar;1
conferência?;1
marcar;1
essa;1
vem;1
tinha;1
ouvido;1
mexem;1
ocr;1
microsoft;1
escopo;1
dela;1
sistemas;1
outras;1
empresas;1
geral;1
omitted;1
transmissão;1
amadora;1
sem;1
permissão;1
das;1
localidades;1
sp?;1
caderno;1
kkkkkkk;1
tentar;1
fazer;1
desses;1
onde;1
normalmente;1
fico;1
brtt;1
ontem;1
veio;1
bus;1
fala;1
caixas;1
breja;1
caminho;1
arranjar;1
hauahauahauah;1
primo;1
bruno;1
peres);1
600ml;1
caixa;1
cima;1
deve;1
6;1
nice;1
ia;1
poderia;1
preocuparem;1
mto;1
barato;1
ideia;1
pô;1
for;1
consigo;1
quantas;1
kkkkk;1
2;1
gi;1
umas;1
queria????;1
to;1
tentando;1
quanto;1
consegui;1
minhas;1
