Nome;Número de Mensagens;Stickers;Imagens;Áudios
Eleven;307;3;1;2
Palavra;Frequência
de;31
q;24
a;23
o;20
pra;20
eu;19
da;19
na;17
um;16
mano;16
é;15
que;14
e;14
em;12
do;12
tem;11
uma;11
não;10
meu;10
no;10
só;9
dia;9
cara;9
os;9
dahora;9
se;8
la;8
ai;8
vc;8
fazer;7
mais;7
lá;7
queria;6
isso;6
essa;6
sei;6
mas;6
bom;6
acho;6
site;5
como;5
true;5
me;5
foi;5
por;4
mt;4
te;4
sua;4
pro;4
ta;4
ou;4
moral;4
ap;4
parte;4
as;4
dos;4
meio;4
vai;4
era;4
kkkkkkk;4
vcs;3
to;3
pq;3
ser;3
foto;3
nois;3
suave;3
agora;3
todo;3
tambem;3
dar;3
n;3
com;3
fiquei;3
até;3
sem;3
sao;3
osso;3
ter;3
das;3
2;3
demais;3
tipo;3
aqui;3
gente;3
cada;3
chegar;3
geral;3
pelo;3
pergunta;3
já;3
assim;3
maior;3
tenho;3
vou;3
umas;2
bosta;2
mano,;2
pode;2
bem;2
todos;2
bot;2
ficar;2
nisso;2
escritorio;2
porra;2
dessa;2
parece;2
empresa;2
morrer;2
vaga;2
esse;2
casa;2
seu;2
mandar;2
super;2
nada;2
muito;2
sorocaba;2
bagulho;2
sp;2
maioria;2
ne;2
imagina;2
ficam;2
for;2
tamo;2
aquele;2
5;2
frente;2
nao;2
esperando;2
primo;2
movile;2
ao;2
pc;2
video;2
ler;2
começa;2
ja;2
omitted;2
enfrentou,;2
nem;2
empresa?;2
trabalha;2
tô;2
kkkkk;2
saber;2
fora;2
para;2
iria;2
goomer;2
gc;2
ele;2
tá;2
área;2
dev;2
ideia;2
kkkkkkkk;2
muié;2
sim;2
rito;2
jojo;2
vale;2
pena;2
também;2
faz;2
outro;2
parabéns;2
casamento;2
ver;2
falo;2
pitch;2
vem;2
ir;2
precisa;2
estar;2
valeu;2
manda;1
currículo;1
daqueles;1
vagas.com?;1
parada;1
dúvida;1
linkedin;1
mim?;1
fazer?;1
amei;1
tanto;1
morgado;1
comigo?;1
mermao;1
