Nome;Número de Mensagens;Stickers;Imagens;Áudios
Leozin;39;2;0;0
Palavra;Frequência
que;4
é;3
ele;3
nada;2
a;2
lixo;2
não;2
goomer;1
mo;1
boa;1
eleven;1
muito;1
escroto;1
nao;1
sabe;1
empresa;1
gosto;1
de;1
xingar;1
ganha;1
15;1
mil;1
reais;1
por;1
hora,;1
ou;1
e;1
odeia;1
todos;1
trabalham;1
lá;1
mylao;1
vcs;1
viram;1
os;1
dados;1
q;1
riot;1
soltou?;1
tao;1
contratanto;1
em;1
sp;1
viu;1
guys;1
mano;1
milhoes;1
players;1
mais;1
o;1
top;1
10;1
da;1
steam;1
somados;1
espera;1
morma;1
esperei;1
melhorou;1
confoa;1
na;1
nasa;1
tbm;1
oppp;1
drauzio;1
goda;1
