Nome;Número de Mensagens;Stickers;Imagens;Áudios
Lucas Toniello:;47;0;0;0
Palavra;Frequência
o;9
em;7
q;6
que;6
eu;5
não;5
eh;4
pra;4
do;4
no;3
cara;3
de;3
mano;2
eles;2
ser;2
um;2
a;2
era;2
todo;2
na;2
quase;1
nunca;1
divulgam;1
resultado;1
mistério;1
sempre;1
resposta;1
sorokappa;1
neh?;1
lembro;1
@5515988058856;1
mencionando;1
aqui;1
posso;1
ta;1
cherando;1
cola;1
tbm;1
ouvi;1
ap;1
dos;1
corno;1
sp?;1
festa;1
fds;1
pagar;1
aluguel?;1
vc?;1
fap;1
e;1
ainda;1
levou;1
preciso;1
uma;1
foto;1
pro;1
linkedin;1
msm;1
ai;1
já;1
vejo;1
kkkkkkk;1
tenho;1
nenhuma;1
roupa;1
chique;1
disse;1
vou;1
esperar;1
mais;1
improvável;1
mormaço;1
virar;1
fã;1
jojo?;1
pora;1
palavras;1
sorte;1
seu;1
futuro;1
guerreiro;1
estou;1
repassando;1
empresa;1
dona;1
da;1
ambev;1
pelo;1
morma;1
tava;1
lendo;1
vai;1
chefe;1
drauzio;1
tem;1
mta;1
mensagem;1
ler;1
mas;1
parabéns;1
tudo;1
passaram;1
bora;1
meter;1
pau;1
elogio;1
humilda;1
olha;1
ele;1
fala;1
vc;1
passe;1
nada;1
pastor;1
praticamente;1
processo;1
seletivo;1
dentro;1
nosso;1
grupo;1
zap;1
começa;1
as;1
treta?;1
haha;1
é;1
famoso;1
lugar;1
for;1
vídeo;1
to;1
pensando;1
nem;1
gravei;1
kkkkkk;1
sim,;1
grava;1
obrigatório;1
deixei;1
lado;1
achando;1
iam;1
cobrar;1
outra;1
fase;1
só;1
foi;1
final;1
das;1
contas;1
