Nome;Número de Mensagens;Stickers;Imagens;Áudios
Moranço;343;1;2;4
Palavra;Frequência
q;55
de;41
o;33
eu;30
a;30
é;27
pra;26
nao;23
da;21
na;18
se;15
e;13
um;13
la;12
tem;12
do;12
em;11
mas;10
sei;10
no;10
só;10
ja;10
meu;10
com;9
tbm;9
sp;9
ver;8
isso;8
vc;8
ter;8
mano;8
tipo;8
vai;8
conferencia;7
gente;7
ai;7
ambev;7
mesmo;7
video;6
acho;6
uma;6
sim;6
me;6
ir;6
ta;6
fazer;5
agora;5
pratica;5
por;5
ou;5
aqui;5
to;5
mais;5
tudo;5
feriado;5
vou;4
pro;4
foi;4
fala;4
eleven;4
tinha;4
dia;4
deus;4
ideia;4
seria;4
hj;4
daora;4
estagio;4
sorocaba;4
todo;4
queria;4
bem;4
movile;4
entendi;4
como;4
carro;4
goomer;3
bom;3
mando;3
depois;3
ainda;3
entrevista;3
quiser;3
merda;3
boa;3
@5511984480662;3
sao;3
kkk;3
quero;3
for;3
tenho;3
essa;3
hora;3
evento;3
né;3
tao;3
empresas;3
vida;3
uns;3
foda;3
email;3
não;3
muito;3
estar;3
rio;2
novo;2
pq;2
online;2
alguem;2
dar;2
nosso;2
algo;2
glub;2
dias;2
@5516997052636;2
lembro;2
ti;2
stone;2
parece;2
alg2;2
@5511954263132;2
saiba;2
porra;2
legal;2
pau;2
embraer;2
minha;2
casa;2
pergunta;2
top;2
ele;2
ser;2
até;2
ia;2
tava;2
gravar;2
trabalhar;2
deles;2
que;2
fase;2
sepa;2
eles;2
tentando;2
amigos;2
era;2
deu;2
cada;2
mora;2
canto;2
nos;2
cobertura;2
morar;2
semana;2
mundo;2
perto;2
fosse;2
lugar;2
recebeu;2
kkkk;2
newba;2
@5516991310978;2
as;2
mandar;2
antes;2
os;2
trabalha;2
nada;2
homem;2
tivesse;2
vamos;2
muita;2
infelizmente;2
dona;2
uber;2
das;2
chamado;2
passado;2
sido;2
lixo;2
fui;2
longe;2
estacionamento;2
sair;2
segunda;2
dormir;2
chegar;2
suave;1
ficou;1
nem;1
enviei;1
comseguir;1
livelo;1
agora,;1
conversar;1
obrigado;1
sugada;1
conheicmento;1
gentr;1
quando;1
quer;1
mama;1
gostoso;1
😋😋😋;1
boaaaa;1
inscrever;1
q0;1
mostrado;1
interesse;1
brinquedo;1
conversei;1
bastante;1
eles,;1
janeiro;1
mansa;1
logo!";1
qualquee;1
assim;1
diria;1
trabalho;1
entre;1
ed1;1
inscreveu;1
pratica?;1
pode;1
mais,;1
nao?;1
terminar;1
inscricao;1
2;1
4;1
menos;1
mal;1
logo;1
boi;1
🥴🥴🥴🥴🥴;1
seu;1
giz;1
min;1
responder;1
ultima,;1
itau;1
faço;1
jose;1
doa;1
campos;1
cheguei;1
daora,;1
lado;1
aeroporto;1
sei,;1
cadastrei;1
ultimo;1
bagulho;1
sozinho;1
(se;1
rs);1
desculpa;1
trabalhando;1
indo;1
intuito?;1
palestras;1
tal?;1
efetivo;1
tbm??;1
certissimo;1
salinas;1
vá;1
teste;1
ingles;1
lembre;1
rapido;1
enviando;1
ja?;1
manda;1
pediu;1
dei;1
cobrando;1
dele;1
enrolando...;1
varios;1
troxa;1
full;1
improviso;1
versao;1
yt;1
quinta;1
tentativa;1
sabia;1
falar;1
meia;1
camisa;1
memo;1
pensei;1
video";1
sou;1
curioso;1
odio;1
guys,;1
abriu;1
2020;1
cesar;1
procuro;1
preguica;1
paulo;1
procurar;1
coisa;1
regiao;1
fez;1
computaria;1
porno;1
sujao;1
ate;1
cara;1
falou;1
transformar;1
num;1
polo;1
tecnologico;1
poucas;1
meus;1
epoca;1
faculdade,;1
apartabro.;1
super;1
certo,;1
estado;1
faculdade;1
uau;1
vestibular*;1
lado,;1
geral;1
ficam;1
alphaville;1
pinheiros;1
bairros;1
chiques;1
la,;1
itaim;1
bibi;1
essas;1
caralha;1
verdadeiro;1
sonho;1
melhor;1
vezes;1
mirou;1
errado;1
friendly;1
fire;1
umas;1
modelos;1
vieram;1
suecia;1
ganhar;1
2k;1
junta;1
6;1
6k;1
rouba;1
amigo;1
pedro;1
escola;1
numa;1
festa;1
toda;1
oagar;1
aluguekl;1
trolar;1
dificl;1
acontecer;1
seja;1
trab;1
desse;1
ems;1
orocaba;1
demora;1
deslocar;1
bao;1
ficar;1
paia;1
quebrada;1
alem;1
video?;1
tiltado;1
aí;1
coloquei;1
recomendaçao;1
responde;1
aaa;1
receberam;1
proxima;1
quais;1
foram;1
perguntas;1
falaram;1
isso?;1
pararam;1
vcs;1
sujos;1
julgo;1
achei;1
inteligente;1
metia;1
curto;1
agoras;1
