Nome;Número de Mensagens;Stickers;Imagens;Áudios
Pablo;71;1;1;0
Palavra;Frequência
q;10
eu;10
de;8
pra;6
ser;4
grupo;4
isso;4
me;4
fazer;4
mais;4
nao;4
acho;3
vai;3
um;3
a;3
mas;3
na;3
se;3
em;3
é;3
sp;3
que;3
ta;3
o;3
da;3
aqui;2
qualquer;2
emprego;2
inscrevi;2
era;2
meio;2
e;2
estagio;2
tudo;2
loko;2
agr;2
do;2
drauzio;2
sempre;2
vc;2
mudar;2
casa;2
perto;2
uma;2
tbm;2
no;2
vdd;1
devia;1
profissional,;1
troca;1
conhecimento;1
n;1
acontceer;1
bruno;1
marcou;1
pq;1
odeio;1
site;1
procurar;1
bom;1
ainda,;1
pretendo;1
realizar;1
minha;1
inscrição;1
neste;1
fim;1
semana;1
bruno,;1
abraço!;1
pegadinha;1
essas;1
informações;1
kkkkkk;1
pa;1
so;1
140x4;1
sei;1
procuro;1
estagio,;1
menos;1
quero;1
trabalhar;1
tava;1
bem;1
desanimado,;1
ter;1
ido;1
rappi;1
animou;1
fiz...;1
esqueci;1
disso,;1
hj;1
vou;1
conseguir,;1
to;1
indo;1
p;1
sorocaba;1
penso;1
kkkkkkkkk;1
msm;1
fizer;1
soro,;1
inevital;1
ir;1
alguma;1
hora;1
vamo;1
dividir;1
super;1
apartamento;1
mt;1
nossa;1
delicia;1
moral;1
demais;1
diferente,;1
as;1
coisas;1
sao;1
mto;1
solidas;1
epoca;1
ensino;1
medio;1
pela;1
paulista,;1
faria;1
lima;1
sim;1
emocionei;1
real;1
mano;1
juro,;1
sonhei;1
com;1
vejo;1
sendo;1
possivel;1
mano,;1
coisa;1
longe,;1
tipo;1
tods;1
vez;1
ne;1
trabalho;1
privilegio;1
for;1
nessa;1
regiao,;1
seria;1
maioria;1
fino;1
bosta;1
morando;1
condomínio;1
pai;1
bancando;1
sanduíche;1
sujo;1
tenho;1
interesse;1
teria;1
semestre;1
vem;1
•;1
1;1
page;1
document;1
omitted;1
ai;1
olha;1
ver;1
igual;1
abriu;1
processo;1
seletivo;1
cielo?;1
daoraaa;1
conferencia;1
po;1
ainda;1
imagino;1
seja;1
uns;1
1800;1
2000;1
ne?;1
menos?;1
meus;1
parabens;1
outro;1
🤙;1
deixou;1
celular;1
kkkkkkkkkkkk;1
gnt;1
falando;1
disso;1
bebida;1
chacara;1
mia;1
pica;1
