Nome;Número de Mensagens;Stickers;Imagens;Áudios
Pastor;111;0;6;0
Palavra;Frequência
?;17
de;9
q;9
é;9
em;8
o;8
a;7
uma;6
aqui;5
com;5
e;5
tem;5
mas;5
não;5
vai;5
se;4
to;4
pra;4
eu;4
fazer;4
dia;4
nao;4
vc;4
ela;4
mano;3
boa;3
que;3
da;3
vou;3
ver;3
video;3
tá;3
tbm;3
haha;3
do;3
agr;3
um;3
ficar;3
:(;3
no;3
pq;3
na;3
só;2
sei;2
ja;2
:/;2
new;2
number.;2
message;2
aí;2
gente;2
kkkkk;2
vagas;2
onde;2
:d;2
até;2
esse;2
mais;2
fase;2
bom,;2
boa,;2
quiser;2
pode;2
tivesse;2
minha;2
kkkkkk;2
recebi;2
conferência;2
vão;2
porra;2
das;2
hahaha;2
feriado;2
ser;2
sp;2
tava;2
qts;2
por;2
lá;2
shopping;2
deixa;1
os;1
caras;1
roubarem.;1
critica;1
><;1
alguem;1
mandou;1
their;1
phone;1
number;1
tap;1
or;1
add;1
the;1
parece;1
msm;1
ta;1
vaga;1
aberta;1
estagio;1
inicio;1
imediato.;1
vi;1
noticia;1
sem;1
link;1
entrei;1
kkkk;1
merda,;1
2;1
odeio;1
nube;1
was;1
deleted.;1
sabem;1
fica;1
area;1
tecnologia;1
ambev;1
ele;1
tô;1
enrolando;1
09;1
baguo;1
fgts;1
tenho,;1
preciso;1
processo;1
tentar;1
daora;1
depois;1
alguma;1
hehe;1
enviar;1
vergonha,;1
pensar;1
fiz;1
uns;1
10;1
ate;1
sair;1
deu;1
1:53;1
caga;1
coisas;1
basica;1
-;1
https://eureca.me/#!/op/estagiarglobo20;1
dnv,;1
assim;1
rico;1
oportunidade;1
ia;1
metrozao;1
tirar;1
@5516997121580;1
tira;1
tiro;1
sua;1
online;1
para;1
várias;1
13;1
sobre;1
oque?;1
vlw;1
férias;1
corno.;1
mal;1
dela;1
me;1
falaram;1
pensam;1
bem;1
estar;1
empresa;1
responder;1
lembro;1
meu,;1
:);1
,;1
trabalhando;1
mano,;1
aonde;1
ir;1
documentos;1
página;1
antes;1
inscrições;1
coisa;1
hj;1
acho;1
28;1
❤❤;1
servidor;1
publico;1
mim;1
seria;1
segunda;1
fico;1
tendi;1
dar;1
olhada;1
net;1
kkkkkkkkkkkk;1
comentando;1
del;1
valle;1
passar;1
passei;1
vao;1
curso;1
conferencia;1
disponibiliza;1
semestre?;1
isso;1
outdoor;1
sim;1
qro;1
encontrar;1
vcs;1
la;1
carro;1
fa;1
km;1
litro;1
pedágio;1
média;1
20;1
reais;1
sim,;1
ter;1
estacionar;1
pensei;1
tinha;1
perto;1
espaço;1
dormir;1
casa;1
meio;1
chato;1
entrada;1
barueri;1
osasco,;1
muito;1
trânsito;1
endereço;1
facil;1
conferencia,;1
achando;1
;);1
primeiras;1
cada;1
caixa;1
posso;1
ver,;1
certeza.;1
namorada;1
vim;1
sexta;1
trazer;1
pouco;1
confirmo,;1
vem;1
blablacar;1
vende;1
qnto;1
