Nome;Número de Mensagens;Stickers;Imagens;Áudios
Yakult;42;0;1;0
Palavra;Frequência
a;5
de;4
com;3
pra;3
que;3
bla;3
compartilhar;2
por;2
aí;2
brunão;2
no;2
legal;2
é;2
o;2
entrar;2
n;2
2;2
em;2
uma;2
meu;2
e;2
seu;1
plano;1
carreira??;1
quero;1
conhecimento;1
meus;1
amigos;1
mil;1
grupos;1
coisa;1
daora;1
parabéns;1
você;1
site;1
deles;1
parece;1
super;1
nessa;1
ce;1
foi;1
lá;1
kkkk;1
vi;1
aquele;1
vídeo;1
2016;1
tá;1
ainda;1
mais;1
rocky??;1
teste;1
ele;1
sim;1
mano;1
deixou;1
só;1
pontinha;1
isso;1
sentiu;1
nada;1
gostoso;1
diante;1
melhor;1
outra;1
metade;1
apareceu;1
propaganda;1
dessa;1
empresa;1
face;1
falando:;1
procuramos;1
jovens;1
espírito;1
liderança;1
querem;1
fazer;1
acontecer;1
ler;1
na;1
hora;1
sevenhub;1
traz;1
vocês;1
um;1
evento;1
inédito;1
parceria;1
ambev;1
hbsis!;1
bruno!;1
tudo;1
bem?;1
carai;1
q;1
faz;1
ahsuahsuahshshsshhss;1
min;1
vc;1
bota;1
emoji;1
nas;1
coisas;1
do;1
exatamente?;1
se;1
quiser;1
eu;1
tenho;1
interesse;1
tb;1
tai;1
cv;1
•;1
pages;1
document;1
omitted;1
deus;1
sabia;1
exportar;1
pdf;1
pelo;1
celular;1
day;1
